NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;991;1008;1999;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;3671;4181;7852;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;252;300;552;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;1132;1125;2257;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61025;Obervogau;435;441;876;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61026;Pistorf;701;704;1405;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;737;713;1450;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;220;228;448;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61029;Retznei;206;213;419;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;894;846;1740;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61031;Sankt Georgen an der Stiefing;538;570;1108;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;1018;1031;2049;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;1103;1107;2210;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61034;Sankt Nikolai ob Draßling;563;492;1055;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;390;383;773;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61036;Sankt Veit am Vogau;930;975;1905;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;555;516;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;491;484;975;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;500;464;964;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61040;Stocking;727;728;1455;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61041;Straß in Steiermark;872;880;1752;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61042;Sulztal an der Weinstraße;66;68;134;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;1576;1583;3159;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61044;Vogau;570;544;1114;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;2517;2843;5360;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61046;Weitendorf;743;781;1524;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;1167;1398;2565;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61048;Wolfsberg im Schwarzautal;383;415;798;01.01.2012
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;2252;2550;4802;01.01.2012
AT2;AT22;AT223;611;Leoben;61104;Hieflau;376;393;769;01.01.2012
AT2;AT22;AT223;611;Leoben;61105;Kalwang;530;552;1082;01.01.2012
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;806;848;1654;01.01.2012
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;633;655;1288;01.01.2012
AT2;AT22;AT223;611;Leoben;61108;Leoben;12011;12556;24567;01.01.2012
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;880;936;1816;01.01.2012
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;1212;1334;2546;01.01.2012
AT2;AT22;AT223;611;Leoben;61111;Proleb;772;806;1578;01.01.2012
AT2;AT22;AT223;611;Leoben;61112;Radmer;329;326;655;01.01.2012
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;1483;1587;3070;01.01.2012
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;1175;1232;2407;01.01.2012
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;987;985;1972;01.01.2012
AT2;AT22;AT223;611;Leoben;61116;Traboch;691;696;1387;01.01.2012
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;506;548;1054;01.01.2012
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;321;311;632;01.01.2012
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;5475;5832;11307;01.01.2012
AT2;AT22;AT222;612;Liezen;61201;Admont;1190;1335;2525;01.01.2012
AT2;AT22;AT222;612;Liezen;61202;Aich;449;477;926;01.01.2012
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;1264;1306;2570;01.01.2012
AT2;AT22;AT222;612;Liezen;61204;Altaussee;886;891;1777;01.01.2012
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;407;457;864;01.01.2012
AT2;AT22;AT222;612;Liezen;61206;Ardning;585;600;1185;01.01.2012
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;2300;2582;4882;01.01.2012
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;554;545;1099;01.01.2012
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;156;169;325;01.01.2012
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;498;511;1009;01.01.2012
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;279;290;569;01.01.2012
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;142;133;275;01.01.2012
AT2;AT22;AT222;612;Liezen;61213;Gröbming;1357;1483;2840;01.01.2012
AT2;AT22;AT222;612;Liezen;61214;Großsölk;251;236;487;01.01.2012
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;592;649;1241;01.01.2012
AT2;AT22;AT222;612;Liezen;61216;Hall;849;895;1744;01.01.2012
AT2;AT22;AT222;612;Liezen;61217;Haus;1202;1192;2394;01.01.2012
AT2;AT22;AT222;612;Liezen;61218;Irdning;1298;1442;2740;01.01.2012
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;63;77;140;01.01.2012
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;303;280;583;01.01.2012
AT2;AT22;AT222;612;Liezen;61221;Landl;612;659;1271;01.01.2012
AT2;AT22;AT222;612;Liezen;61222;Lassing;817;845;1662;01.01.2012
AT2;AT22;AT222;612;Liezen;61223;Liezen;3255;3593;6848;01.01.2012
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;271;272;543;01.01.2012
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;595;571;1166;01.01.2012
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;1514;1582;3096;01.01.2012
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;293;302;595;01.01.2012
AT2;AT22;AT222;612;Liezen;61228;Öblarn;698;743;1441;01.01.2012
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;120;125;245;01.01.2012
AT2;AT22;AT222;612;Liezen;61230;Palfau;201;201;402;01.01.2012
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;474;465;939;01.01.2012
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;390;373;763;01.01.2012
AT2;AT22;AT222;612;Liezen;61234;Pruggern;319;300;619;01.01.2012
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;437;483;920;01.01.2012
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;1363;1402;2765;01.01.2012
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;683;708;1391;01.01.2012
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;2511;2572;5083;01.01.2012
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;698;721;1419;01.01.2012
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;379;382;761;01.01.2012
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;243;252;495;01.01.2012
AT2;AT22;AT222;612;Liezen;61242;Schladming;2068;2288;4356;01.01.2012
AT2;AT22;AT222;612;Liezen;61243;Selzthal;839;837;1676;01.01.2012
AT2;AT22;AT222;612;Liezen;61244;Stainach;929;1025;1954;01.01.2012
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;502;508;1010;01.01.2012
AT2;AT22;AT222;612;Liezen;61246;Treglwang;174;191;365;01.01.2012
AT2;AT22;AT222;612;Liezen;61247;Trieben;1675;1755;3430;01.01.2012
AT2;AT22;AT222;612;Liezen;61248;Weißenbach an der Enns;247;256;503;01.01.2012
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;538;574;1112;01.01.2012
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;304;303;607;01.01.2012
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;266;260;526;01.01.2012
AT2;AT22;AT222;612;Liezen;61252;Wörschach;563;596;1159;01.01.2012
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;150;125;275;01.01.2012
AT2;AT22;AT226;614;Murau;61403;Frojach-Katsch;583;608;1191;01.01.2012
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;321;314;635;01.01.2012
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;284;267;551;01.01.2012
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;162;156;318;01.01.2012
AT2;AT22;AT226;614;Murau;61407;Kulm am Zirbitz;179;150;329;01.01.2012
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;490;553;1043;01.01.2012
AT2;AT22;AT226;614;Murau;61409;Mariahof;653;683;1336;01.01.2012
AT2;AT22;AT226;614;Murau;61410;Mühlen;478;454;932;01.01.2012
AT2;AT22;AT226;614;Murau;61411;Murau;945;1166;2111;01.01.2012
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;848;938;1786;01.01.2012
AT2;AT22;AT226;614;Murau;61413;Niederwölz;298;300;598;01.01.2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;475;515;990;01.01.2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;414;375;789;01.01.2012
AT2;AT22;AT226;614;Murau;61416;Perchau am Sattel;155;144;299;01.01.2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;455;394;849;01.01.2012
AT2;AT22;AT226;614;Murau;61418;Ranten;531;514;1045;01.01.2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;85;75;160;01.01.2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;293;278;571;01.01.2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;681;701;1382;01.01.2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;690;753;1443;01.01.2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;313;309;622;01.01.2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;486;474;960;01.01.2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;1047;1046;2093;01.01.2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;748;787;1535;01.01.2012
AT2;AT22;AT226;614;Murau;61428;Schöder;506;508;1014;01.01.2012
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;232;210;442;01.01.2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;497;503;1000;01.01.2012
AT2;AT22;AT226;614;Murau;61431;Stolzalpe;211;232;443;01.01.2012
AT2;AT22;AT226;614;Murau;61432;Teufenbach;338;368;706;01.01.2012
AT2;AT22;AT226;614;Murau;61433;Triebendorf;72;66;138;01.01.2012
AT2;AT22;AT226;614;Murau;61434;Winklern bei Oberwölz;442;445;887;01.01.2012
AT2;AT22;AT226;614;Murau;61435;Zeutschach;105;117;222;01.01.2012
AT2;AT22;AT226;614;Murau;61436;St.Ruprecht-Falkendorf;249;222;471;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61601;Bärnbach;2502;2740;5242;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61602;Edelschrott;838;783;1621;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61603;Gallmannsegg;162;152;314;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61604;Geistthal;428;407;835;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61605;Gößnitz;233;220;453;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61606;Graden;229;255;484;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61607;Hirschegg;333;346;679;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61608;Kainach bei Voitsberg;333;336;669;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61609;Köflach;4617;5101;9718;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61610;Kohlschwarz;355;353;708;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld;1247;1191;2438;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;1582;1652;3234;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61613;Maria Lankowitz;1075;1117;2192;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61614;Modriach;111;99;210;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen;1000;1068;2068;01.01.2012
