pointid;plz;ort;strasse;zusatztext;gefoerdert_jahr;note1;note2;bundesland;Breitenangabe;Längenangabe
44;3003;Gablitz;;;2006;Robinsonspielplatz;Robinsonspielplatz,3003, Gablitz;N;48,2260;16,1446
60;3041;Asperhofen;Tullner Straße Nr. 8;in der Johannesgasse, zwischen Johannesgasse und Tullner Straße neben Gasthaus Fenzl;2004;Spielplatz Asperhofen;Spielplatz Asperhofen,3041, Asperhofen;N;48,2449;15,9269
168;3052;Neustift-Innermanzing;;gegenüber dem Erlebnisteich;2007;Spielplatz am Erlebnisteich;Spielplatz Neustift-Innermanzing,3052, Innermanzing;N;48,1382;15,9112
107;3062;Kirchstetten;Totzenbach 10;neben der Schule;2005;Spielplatz in Totzenbach;Spielplatz in Totzenbach,3062, Kirchstetten;N;48,2037;15,8089
258;3071;Böheimkirchen;Am Berg 4;zwischen Schulkomplex VS Böheimkirchen (bei der Kirche vorbei);2009;Schulfreiraum Böheimkirchen;Schulfreiraum Böheimkirchen,3071 Böheimkirchen;N;48,1972;15,7617
104;3072;Kasten;Nr 17;in der Nordsiedling, oberhalb der Volksschule Kasten;2002;Spielplatz in Kasten;Spielplatz in Kasten,3072, Kasten;N;48,1528;15,7809
129;3109;Ratzersdorf;;;2004;Spielplatz Ratzersdorf;Spielplatz Ratzersdorf,3109, Ratzersdorf;N;48,2250;15,6648
58;3130;Herzogenburg;Auring 13;;2004;Spielplatz am Sportplatzgelände;Spielplatz am Sportplatzgelände,3130, Herzogenburg;N;48,2874;15,7008
266;3131;Inzersdorf;Siedlungsstrasse/ Feldweg;inmitten von Wohnhausanlagen, in der Nähe von Sportplatz und Kirche;2009;"Spielplatz ""Getziwiese""";Spielplatz Inzersdorf-Getzersdorf,3131 Inzersdorf;N;48,3174;15,6792
137;3133;Traismauer;;;2002;Spielplatz Siedlung;Spielplatz Siedlung,3133, Traismauer;N;48,3537;15,7461
126;3140;Pottenbrunn;Ernst Freisingergasse;neben Volksheim;2002;Spielplatz Pottenbrunn;Spielplatz Pottenbrunn,3140, Pottenbrunn;N;48,2390;15,6911
111;3141;Kapelln;Marktgasse 1;1 Teil direkt auf der Sportanlage Leopold Figl Platz, 2. Teil neben Tennisanlage;2003;Spielplatz Kapelln (Spiellandschaft);Spielplatz Kapelln (Spiellandschaft),3141, Kapelln;N;48,2583;15,7567
63;3142;Weißenkirchen/Perschling;Weißenkirchnerstraße 5;;2006;Spielplatz auf der Sportanlage;Spielplatz auf der Sportanlage,3142, Weißenkirchen/Perschling;N;48,2622;15,7962
78;3153;Eschenau;Hauptstraße 17;;2004;Spielplatz Eschenau;Spielplatz Eschenau,3153, Eschenau;N;48,0519;15,5702
279;3160;Traisen;Traisen-Siedlung, Winklerwald;im Ortsteil Traien-Siedlung, Winklerwald- Linzerhof;2010;Spielplatz Traisen;Spielplatz Traisen , 3160 Traisen;N;48,0404;15,6092
152;3163;Rohrbach an der Gölsen;An der Sägemühle;in Unterrohrbach, an der Straße Sägemühle;2003;Spieltraum Rohrbach;Spieltraum Rohrbach,3163, Rohrbach an der Gölsen;N;48,0454;15,7387
169;3180;Lilienfeld;Prefastraße, Marktl;am Ende der Prefastraße (oberhalb nur mehr Wald);2007;Spielplatz Marktl;Spielplatz Lilienfeld,3180, Lilienfeld;N;48,0245;15,6019
88;3192;Hohenberg;;in Hinterberg;2004;Spielplatz Hinterberg;Spielplatz Hinterberg,3192, Hohenberg;N;47,9064;15,6228
280;3211;Loich;direkt im Ort Loich;direkt im Ort, oberhalb der Kirche, der Volksschule und des Gemeindeamtes;2010;Schulfreiraum Loich;Schulfreiraum/ Spielplatz Loich , 3211 Loich;N;47,9962;15,4014
53;3224;Mitterbach am Erlaufsee;Hauptstraße 9;;2002;Spielplatz am Dorfplatz;Spielplatz am Dorfplatz,3224, Mitterbach am Erlaufsee;N;47,8138;15,2951
268;3241;Kirnberg;Sonnenweg 3;in der Nähe vom Fußballplatz;2009;Spielplatz Kirnberg;Spielplatz Kirnberg an der Mank,3241 Kirnberg an der Mank;N;48,0739;15,3176
39;3243;St.Leonhard am Forst;Hauptplatz 1;im Schlosspark;2004;Naturnaher Spielplatz im Schlosspark;Naturnaher Spielplatz im Schlosspark,3243, St.Leonhard am Forst;N;48,1427;15,2854
51;3250;Bodensdorf;;Wieselburg, zwischen Aigner Teich und kleinen Erlauf;2001;Spielplatz am Aigner Teich;Spielplatz am Aigner Teich,3250, Bodensdorf, Wieselburg - Land;N;48,1169;15,1218
93;3251;Purgstall an der Erlauf;Parkgasse 21-23;;2003;Spielplatz im Gemeindepark;Spielplatz im Gemeindepark,3251, Purgstall an der Erlauf;N;48,0580;15,1384
