NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_NAT;POP_FOR_NAT;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;426;22;448;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61029;Retznei;410;9;419;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;1693;47;1740;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61031;Sankt Georgen an der Stiefing;1072;36;1108;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;2017;32;2049;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;2163;47;2210;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61034;Sankt Nikolai ob Draßling;992;63;1055;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;745;28;773;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61036;Sankt Veit am Vogau;1865;40;1905;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;1049;22;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;936;39;975;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61039;Spielfeld;904;60;964;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61040;Stocking;1419;36;1455;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61041;Straß in Steiermark;1593;159;1752;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61042;Sulztal an der Weinstraße;132;2;134;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;3053;106;3159;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61044;Vogau;1045;69;1114;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;4957;403;5360;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61046;Weitendorf;1470;54;1524;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;2358;207;2565;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61048;Wolfsberg im Schwarzautal;750;48;798;01.01.2012
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;4637;165;4802;01.01.2012
AT2;AT22;AT223;611;Leoben;61104;Hieflau;745;24;769;01.01.2012
AT2;AT22;AT223;611;Leoben;61105;Kalwang;1044;38;1082;01.01.2012
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;1607;47;1654;01.01.2012
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;1259;29;1288;01.01.2012
AT2;AT22;AT223;611;Leoben;61108;Leoben;21738;2829;24567;01.01.2012
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;1771;45;1816;01.01.2012
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;2354;192;2546;01.01.2012
AT2;AT22;AT223;611;Leoben;61111;Proleb;1553;25;1578;01.01.2012
AT2;AT22;AT223;611;Leoben;61112;Radmer;651;4;655;01.01.2012
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;2914;156;3070;01.01.2012
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;2314;93;2407;01.01.2012
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;1939;33;1972;01.01.2012
AT2;AT22;AT223;611;Leoben;61116;Traboch;1340;47;1387;01.01.2012
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;1010;44;1054;01.01.2012
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;604;28;632;01.01.2012
