Wohnungen in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwellings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_WSA_MITHWS;WHG_WSA_OHNEHWS;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3BIS5;WHG_NOC_6BIS;WHG_NOC_ENTFAELLT;WHG_RECHTSVERH_GEBEIG;WHG_RECHTSVERH_WOHNEIG;WHG_RECHTSVERH_HAUPTM;WHG_RECHTSVERH_SONSTIGE;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3BIS5;WHG_NOR_6BIS;WHG_NTZFL_BIS44;WHG_NTZFL_45BIS59;WHG_NTZFL_60BIS89;WHG_NTZFL_90BIS129;WHG_NTZFL_130BIS;WHG_BEHEIZ_ZENTRAL;WHG_BEHEIZ_NICHTZENTRAL;WHG_BAD_BADDUSCHE;WHG_BAD_KEINBADDUSCHE;WHG_TOI_WASSERTOILETTE;WHG_TOI_KEINWASSERTOILETTE;WHG_WSS_WASSER;WHG_WSS_KEINWASSER;WHG_AUSST_A;WHG_AUSST_B;WHG_AUSST_C;WHG_AUSST_D;WHG_TYP_WOHNGEB;WGH_TYP_ANDEREGEB;WHG_EIGENTOBJ_PRIVAT;WHG_EIGENTOBJ_OEFEENTL;WHG_EIGENTOBJ_GEMEINN;WHG_EIGENTOBJ_SONSTIGE;WHG_BAUPOBJ_BIS1918;WHG_BAUPOBJ_1919BIS1944;WHG_BAUPOBJ_1945BIS1960;WHG_BAUPOBJ_1961BIS1970;WHG_BAUPOBJ_1971BIS1980;WHG_BAUPOBJ_1981BIS1990;WHG_BAUPOBJ_1991BIS2000;WHG_BAUPOBJ_2001BIS;WHG_ANZWHGOBJ_1;WHG_ANZWHGOBJ_2;WHG_ANZWHGOBJ_3BIS5;WHG_ANZWHGOBJ_6BIS10;WHG_ANZWHGOBJ_11BIS20;WHG_ANZWHGOBJ_21MEHR
AT1;AT13;AT130;09;0902;90901;9090102;5397;1178;2674;1584;1105;34;1178;106;610;5420;439;585;1007;4473;510;1043;1300;2187;1519;526;6107;468;6292;283;6192;383;6563;12;5687;329;176;383;6433;142;4398;854;293;1030;5022;592;260;97;107;181;231;85;5;6;53;509;3369;2633
AT1;AT13;AT130;09;0903;90901;9090103;2235;1170;1218;581;408;28;1170;44;294;2475;592;992;540;1696;177;1251;624;927;421;182;3240;165;3293;112;3179;226;3399;6;3001;105;73;226;2652;753;1737;967;251;450;1502;443;437;71;72;11;423;446;5;8;30;300;1367;1695
AT1;AT13;AT130;09;0904;90901;9090104;4929;1233;2680;1355;843;51;1233;111;709;4746;596;556;1252;4033;321;1158;1499;2202;1058;245;5678;484;5864;298;5643;519;6143;19;5186;295;162;519;6019;143;4547;570;166;879;4579;373;214;371;274;115;112;124;8;8;61;779;3019;2287
AT1;AT13;AT130;09;0905;90901;9090105;2612;674;1224;714;638;36;674;59;378;2576;273;183;348;2220;535;292;393;1020;872;709;3090;196;3193;93;3147;139;3282;4;2956;139;52;139;3077;209;2023;291;5;967;2719;92;249;43;0;51;48;84;11;14;80;600;1462;1119
AT1;AT13;AT130;09;0906;90901;9090106;988;279;485;251;239;13;279;29;110;1021;107;75;151;825;216;114;141;343;386;283;1158;109;1218;49;1219;48;1265;2;1095;97;27;48;1171;96;810;168;27;262;1017;7;40;12;0;38;0;153;11;0;36;230;681;309
AT1;AT13;AT130;10;1001;91001;9100101;361;40;114;84;154;9;40;2;58;321;20;28;76;292;5;56;46;258;39;2;372;29;388;13;350;51;400;1;341;7;2;51;400;1;253;26;100;22;123;1;19;16;0;0;3;239;2;0;3;0;122;274
AT1;AT13;AT130;10;1002;91001;9100102;8885;1419;4072;2353;2226;234;1419;139;1782;7675;708;1736;2377;6016;175;3427;2668;3489;657;63;9580;724;9637;667;9183;1121;10250;54;8505;362;316;1121;10184;120;5211;3702;831;560;2588;1636;2709;935;459;1388;354;235;24;20;60;648;4243;5309
AT1;AT13;AT130;10;1003;91001;9100103;3452;492;1611;995;786;60;492;78;385;3257;224;545;747;2564;88;1034;1183;1437;262;28;3617;327;3778;166;3505;439;3927;17;3292;175;38;439;3893;51;1685;1314;740;205;1177;48;1251;589;257;390;75;157;37;8;31;353;1588;1927
AT1;AT13;AT130;10;1004;91001;9100104;3925;916;1838;1072;930;85;916;141;840;3482;378;785;1061;2902;93;1442;1381;1576;396;46;4393;448;4485;356;3943;898;4795;46;3657;201;85;898;4739;102;3668;480;285;408;2623;333;556;608;276;179;168;98;22;16;75;647;2259;1822
AT1;AT13;AT130;10;1005;91001;9100105;7849;1224;3310;2123;2215;201;1224;169;1578;6785;541;1335;1616;5757;365;2411;2024;3504;1062;72;8431;642;8480;593;7633;1440;8997;76;7311;212;110;1440;9028;45;5060;969;2273;771;3517;643;526;334;1171;1184;777;921;37;24;109;675;2875;5353
