Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;;;;;;;;;;;;
Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91301;1309;2;2895;97;46;62;45;13;7;18;65;19;264;2259;20110101
AT1;AT13;AT130;91301;1310;2;28;0;2;0;0;1;0;0;0;0;0;25;20110101
AT1;AT13;AT130;91301;1311;2;2257;16;0;77;26;3;5;8;42;6;176;1898;20110101
AT1;AT13;AT130;91301;1399;2;25;0;0;1;0;0;0;0;0;0;3;21;20110101
AT1;AT13;AT130;91401;1401;2;3397;289;102;87;101;75;59;34;41;22;295;2292;20110101
AT1;AT13;AT130;91401;1402;2;4245;591;294;114;184;153;99;119;45;38;437;2171;20110101
AT1;AT13;AT130;91401;1403;2;4581;274;87;203;104;60;44;53;60;51;458;3187;20110101
AT1;AT13;AT130;91401;1404;2;10153;842;353;210;269;276;149;173;133;94;849;6805;20110101
AT1;AT13;AT130;91401;1405;2;2151;97;48;52;35;27;7;17;24;16;116;1712;20110101
AT1;AT13;AT130;91401;1406;2;6414;351;145;157;151;118;71;82;94;52;561;4632;20110101
AT1;AT13;AT130;91401;1407;2;1577;125;63;18;35;32;18;16;17;3;125;1125;20110101
AT1;AT13;AT130;91401;1408;2;2054;63;24;46;20;17;14;13;29;17;144;1667;20110101
AT1;AT13;AT130;91401;1409;2;109;4;1;1;1;2;2;5;1;2;3;87;20110101
AT1;AT13;AT130;91401;1410;2;3849;104;35;128;47;30;29;38;53;28;293;3064;20110101
AT1;AT13;AT130;91401;1411;2;3337;18;9;124;29;4;7;16;78;28;199;2825;20110101
AT1;AT13;AT130;91401;1412;2;2911;55;20;96;34;19;16;11;34;15;205;2406;20110101
AT1;AT13;AT130;91401;1499;2;115;2;0;3;4;3;0;2;1;0;4;96;20110101
AT1;AT13;AT130;91501;1501;2;5356;541;289;139;145;172;84;85;71;66;572;3192;20110101
AT1;AT13;AT130;91501;1502;2;4643;654;316;132;203;199;136;106;29;56;651;2161;20110101
AT1;AT13;AT130;91501;1503;2;5839;793;404;168;175;239;162;145;47;82;963;2661;20110101
AT1;AT13;AT130;91501;1504;2;3698;429;308;83;138;137;104;53;35;48;604;1759;20110101
AT1;AT13;AT130;91501;1505;2;5641;539;301;160;137;187;87;140;67;60;718;3245;20110101
AT1;AT13;AT130;91501;1506;2;7052;1040;482;147;290;282;156;183;54;68;857;3493;20110101
AT1;AT13;AT130;91501;1507;2;4487;401;236;74;124;133;72;55;61;36;354;2941;20110101
AT1;AT13;AT130;91501;1599;2;27;0;0;0;1;1;0;3;0;0;19;3;20110101
AT1;AT13;AT130;91601;1601;2;6883;845;598;195;208;203;133;155;55;67;905;3519;20110101
AT1;AT13;AT130;91601;1602;2;4008;632;432;88;163;159;93;110;29;40;581;1681;20110101
AT1;AT13;AT130;91601;1603;2;6273;619;404;100;168;162;98;60;84;45;520;4013;20110101
AT1;AT13;AT130;91601;1604;2;4191;377;221;87;119;103;70;88;48;27;387;2664;20110101
AT1;AT13;AT130;91601;1605;2;7916;919;345;184;272;249;181;159;64;71;762;4710;20110101
AT1;AT13;AT130;91601;1606;2;5305;457;309;102;105;96;57;49;69;20;469;3572;20110101
AT1;AT13;AT130;91601;1607;2;4935;443;266;96;147;101;58;52;47;27;405;3293;20110101
AT1;AT13;AT130;91601;1608;2;1683;42;32;33;24;9;8;10;23;15;79;1408;20110101
AT1;AT13;AT130;91601;1609;2;2799;29;13;102;29;16;17;5;44;15;157;2372;20110101
AT1;AT13;AT130;91601;1610;2;5042;910;567;124;171;204;152;115;45;27;653;2074;20110101
AT1;AT13;AT130;91601;1699;2;253;3;0;4;1;3;1;2;6;0;4;229;20110101
AT1;AT13;AT130;91701;1701;2;5285;616;256;158;193;131;98;123;63;51;647;2949;20110101
AT1;AT13;AT130;91701;1702;2;6989;823;350;182;236;213;121;128;59;64;883;3930;20110101
AT1;AT13;AT130;91701;1703;2;8698;1009;372;222;259;288;180;138;100;78;869;5183;20110101
AT1;AT13;AT130;91701;1704;2;2079;53;12;66;25;10;12;9;40;7;156;1689;20110101
AT1;AT13;AT130;91701;1705;2;3126;113;42;105;37;15;19;9;51;19;253;2463;20110101
AT1;AT13;AT130;91701;1706;2;1281;30;6;50;15;5;4;11;22;17;179;942;20110101
AT1;AT13;AT130;91701;1799;2;53;0;1;2;3;1;0;0;0;0;1;45;20110101
AT1;AT13;AT130;91801;1801;2;1148;8;5;83;6;1;7;8;19;11;180;820;20110101
AT1;AT13;AT130;91801;1802;2;7499;417;165;336;168;84;64;88;108;77;937;5055;20110101
AT1;AT13;AT130;91801;1803;2;7707;707;229;329;230;156;143;154;78;83;940;4658;20110101
AT1;AT13;AT130;91801;1804;2;4759;168;53;177;82;42;17;48;58;53;536;3525;20110101
AT1;AT13;AT130;91801;1805;2;4944;76;20;245;46;12;17;28;84;52;632;3732;20110101
AT1;AT13;AT130;91801;1899;2;1;0;0;1;0;0;0;0;0;0;0;0;20110101
AT1;AT13;AT130;91901;1901;2;3071;78;35;153;50;17;11;17;55;44;365;2246;20110101
AT1;AT13;AT130;91901;1902;2;5210;301;155;123;100;55;50;40;81;58;646;3601;20110101
AT1;AT13;AT130;91901;1903;2;132;2;5;3;3;3;3;1;0;5;24;83;20110101
AT1;AT13;AT130;91901;1904;2;7298;283;157;284;137;72;59;71;111;88;1095;4941;20110101
AT1;AT13;AT130;91901;1905;2;3872;120;36;182;54;31;27;39;54;64;585;2680;20110101
AT1;AT13;AT130;91901;1906;2;2603;22;14;103;27;16;9;12;47;25;410;1918;20110101
AT1;AT13;AT130;91901;1907;2;1556;23;10;74;17;3;4;18;29;18;204;1156;20110101
AT1;AT13;AT130;91901;1908;2;6925;253;104;222;153;51;40;50;148;82;741;5081;20110101
AT1;AT13;AT130;91901;1909;2;2229;61;34;133;55;22;14;34;33;47;505;1291;20110101
AT1;AT13;AT130;91901;1910;2;4647;77;30;206;64;19;15;30;67;52;569;3518;20110101
