Erwerbstätige PendlerInnen am Arbeits- bzw. Wohnort Wien nach Geschlecht und Entfernungskategorie;;;;;;;;;
Economically Active Commuters in Vienna by sex and category of distance;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUBDISTRICT_CODE;SEX;DISTANCE_CAT;EAC_PLACE_OF_WORK;EAC_PLACE_OF_ABODE;REF_YEAR
AT1;AT13;AT130;91501;0;2;3;7.842;9.819;2009
AT1;AT13;AT130;91501;0;2;4;2.460;1.039;2009
AT1;AT13;AT130;91501;0;2;5;;1;2009
AT1;AT13;AT130;91501;0;2;0;13.360;13.917;2009
AT1;AT13;AT130;91501;0;0;1;2.061;2.061;2009
AT1;AT13;AT130;91501;0;0;2;4.202;4.202;2009
AT1;AT13;AT130;91501;0;0;3;16.366;20.630;2009
AT1;AT13;AT130;91501;0;0;4;6.910;3.371;2009
AT1;AT13;AT130;91501;0;0;5;;12;2009
AT1;AT13;AT130;91501;0;0;0;29.539;30.276;2009
AT1;AT13;AT130;91601;0;1;1;1.477;1.477;2009
AT1;AT13;AT130;91601;0;1;2;3.312;3.312;2009
AT1;AT13;AT130;91601;0;1;3;6.996;14.123;2009
AT1;AT13;AT130;91601;0;1;4;2.289;2.683;2009
AT1;AT13;AT130;91601;0;1;5;;16;2009
AT1;AT13;AT130;91601;0;1;0;14.074;21.611;2009
AT1;AT13;AT130;91601;0;2;1;936;936;2009
AT1;AT13;AT130;91601;0;2;2;3.993;3.993;2009
AT1;AT13;AT130;91601;0;2;3;5.936;12.834;2009
AT1;AT13;AT130;91601;0;2;4;1.797;1.149;2009
AT1;AT13;AT130;91601;0;2;5;;3;2009
AT1;AT13;AT130;91601;0;2;0;12.662;18.915;2009
AT1;AT13;AT130;91601;0;0;1;2.413;2.413;2009
AT1;AT13;AT130;91601;0;0;2;7.305;7.305;2009
AT1;AT13;AT130;91601;0;0;3;12.932;26.957;2009
AT1;AT13;AT130;91601;0;0;4;4.086;3.832;2009
AT1;AT13;AT130;91601;0;0;5;;19;2009
AT1;AT13;AT130;91601;0;0;0;26.736;40.526;2009
AT1;AT13;AT130;91701;0;1;1;934;934;2009
AT1;AT13;AT130;91701;0;1;2;1.207;1.207;2009
AT1;AT13;AT130;91701;0;1;3;3.883;8.160;2009
AT1;AT13;AT130;91701;0;1;4;1.060;1.523;2009
AT1;AT13;AT130;91701;0;1;5;;5;2009
AT1;AT13;AT130;91701;0;1;0;7.084;11.829;2009
AT1;AT13;AT130;91701;0;2;1;629;629;2009
AT1;AT13;AT130;91701;0;2;2;1.808;1.808;2009
AT1;AT13;AT130;91701;0;2;3;3.585;7.587;2009
AT1;AT13;AT130;91701;0;2;4;963;663;2009
AT1;AT13;AT130;91701;0;2;5;;3;2009
AT1;AT13;AT130;91701;0;2;0;6.985;10.690;2009
AT1;AT13;AT130;91701;0;0;1;1.563;1.563;2009
AT1;AT13;AT130;91701;0;0;2;3.015;3.015;2009
AT1;AT13;AT130;91701;0;0;3;7.468;15.747;2009
AT1;AT13;AT130;91701;0;0;4;2.023;2.186;2009
AT1;AT13;AT130;91701;0;0;5;;8;2009
AT1;AT13;AT130;91701;0;0;0;14.069;22.519;2009
AT1;AT13;AT130;91801;0;1;1;1.004;1.004;2009
AT1;AT13;AT130;91801;0;1;2;1.088;1.088;2009
AT1;AT13;AT130;91801;0;1;3;3.708;7.162;2009
AT1;AT13;AT130;91801;0;1;4;1.616;1.211;2009
AT1;AT13;AT130;91801;0;1;5;;10;2009
AT1;AT13;AT130;91801;0;1;0;7.416;10.475;2009
AT1;AT13;AT130;91801;0;2;1;852;852;2009
AT1;AT13;AT130;91801;0;2;2;1.719;1.719;2009
AT1;AT13;AT130;91801;0;2;3;4.215;6.839;2009
AT1;AT13;AT130;91801;0;2;4;1.568;774;2009
AT1;AT13;AT130;91801;0;2;5;;7;2009
AT1;AT13;AT130;91801;0;2;0;8.354;10.191;2009
AT1;AT13;AT130;91801;0;0;1;1.856;1.856;2009
