Geburtsland in Wien gemeldeter Personen, Stichtag  nach Geschlecht und Wiener Bezirk ;;;;;;;;;;;;;;;;;;
Country of birth of residents in Vienna, by sex and Vienna district ;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92201;0000;1;79503;2310;1757;1137;1511;869;250;707;631;466;8117;61748;20130101
AT1;AT13;AT130;92301;0000;1;44962;1366;1068;869;662;748;189;371;385;325;2990;35989;20130101
AT1;AT13;AT130;90101;0000;2;8571;265;53;313;155;58;50;132;142;136;1690;5577;20140101
AT1;AT13;AT130;90201;0000;2;51236;3491;1855;1593;1353;1021;308;1030;572;611;7915;31487;20140101
AT1;AT13;AT130;90301;0000;2;45756;2366;1073;1668;1197;789;302;715;632;585;6808;29621;20140101
AT1;AT13;AT130;90401;0000;2;16794;680;297;804;353;211;125;290;197;251;3104;10482;20140101
AT1;AT13;AT130;90501;0000;2;27582;2085;1105;985;795;679;202;540;279;341;4202;16369;20140101
AT1;AT13;AT130;90601;0000;2;15845;711;301;758;401;218;100;238;157;242;2473;10246;20140101
AT1;AT13;AT130;90701;0000;2;16255;795;286;869;310;246;105;256;168;197;2409;10614;20140101
AT1;AT13;AT130;90801;0000;2;12552;460;183;646;211;122;66;150;130;180;1880;8524;20140101
AT1;AT13;AT130;90901;0000;2;21523;1121;295;1128;414;238;113;324;278;330;3305;13977;20140101
AT1;AT13;AT130;91001;0000;2;94949;7551;6217;1404;2333;2922;599;1798;943;1095;10430;59657;20140101
AT1;AT13;AT130;91101;0000;2;48055;2993;2406;691;1196;1211;257;963;459;480;4567;32832;20140101
AT1;AT13;AT130;91201;0000;2;47389;3519;2226;1006;1351;1330;351;845;502;568;5561;30130;20140101
AT1;AT13;AT130;91301;0000;2;27924;699;216;1078;499;195;97;246;461;377;2629;21427;20140101
AT1;AT13;AT130;91401;0000;2;46086;2650;1055;1187;1169;922;298;664;560;496;4066;33019;20140101
AT1;AT13;AT130;91501;0000;2;37942;3974;1943;957;1243;1520;393;927;345;585;5023;21032;20140101
AT1;AT13;AT130;91601;0000;2;51056;5240;2682;1180;1531;1258;358;923;499;510;5290;31585;20140101
AT1;AT13;AT130;91701;0000;2;28124;2358;851;815;808;775;188;468;302;312;3115;18132;20140101
AT1;AT13;AT130;91801;0000;2;26541;1205;392;1192;575;347;126;380;314;342;3499;18169;20140101
AT1;AT13;AT130;91901;0000;2;37676;1178;531;1314;710;326;141;399;591;546;5183;26757;20140101
AT1;AT13;AT130;92001;0000;2;43439;3636;2951;845;1224;1191;268;900;467;524;5901;25532;20140101
AT1;AT13;AT130;92101;0000;2;77553;3169;2060;1220;2008;966;301;922;928;693;7732;57554;20140101
AT1;AT13;AT130;92201;0000;2;88109;2809;1719;1400;2294;914;271;939;1057;747;9818;66141;20140101
AT1;AT13;AT130;92301;0000;2;50939;1667;1011;1075;968;782;217;518;649;482;3688;39882;20140101
AT1;AT13;AT130;90101;0000;1;7871;197;68;372;74;44;50;72;99;88;1403;5404;20140101
AT1;AT13;AT130;90201;0000;1;48828;3207;2121;1510;1390;953;261;754;328;538;7747;30019;20140101
AT1;AT13;AT130;90301;0000;1;41478;2095;1210;1563;1055;746;249;509;356;513;5933;27249;20140101
AT1;AT13;AT130;90401;0000;1;15183;568;326;767;297;171;94;166;105;181;2721;9787;20140101
AT1;AT13;AT130;90501;0000;1;26612;1921;1224;1041;807;704;177;427;189;300;4263;15559;20140101
AT1;AT13;AT130;90601;0000;1;14739;563;338;768;336;224;80;152;93;170;2356;9659;20140101
AT1;AT13;AT130;90701;0000;1;14901;653;304;907;258;218;78;137;79;163;2155;9949;20140101
AT1;AT13;AT130;90801;0000;1;12054;489;210;669;192;120;54;220;82;150;1979;7889;20140101
AT1;AT13;AT130;90901;0000;1;19680;977;370;1120;401;243;91;191;163;231;3289;12604;20140101
AT1;AT13;AT130;91001;0000;1;90621;7046;6951;1281;2323;2856;582;1405;557;942;10461;56217;20140101
AT1;AT13;AT130;91101;0000;1;45693;2704;2673;603;1031;1117;258;880;261;434;4363;31369;20140101
AT1;AT13;AT130;91201;0000;1;43987;3169;2479;908;1294;1313;347;615;278;435;5251;27898;20140101
AT1;AT13;AT130;91301;0000;1;23653;525;253;852;349;156;84;195;210;241;2041;18747;20140101
AT1;AT13;AT130;91401;0000;1;41919;2300;1204;960;1103;919;249;460;285;374;3758;30307;20140101
AT1;AT13;AT130;91501;0000;1;37733;3813;2309;991;1514;1539;351;763;217;522;5426;20288;20140101
AT1;AT13;AT130;91601;0000;1;48904;5075;3128;1037;1806;1213;309;761;287;431;5516;29341;20140101
AT1;AT13;AT130;91701;0000;1;26838;2232;1014;749;1018;801;167;347;159;315;3103;16933;20140101
AT1;AT13;AT130;91801;0000;1;22520;1036;432;971;577;312;116;245;159;270;2855;15547;20140101
AT1;AT13;AT130;91901;0000;1;32129;922;623;1065;523;274;117;254;301;388;4403;23259;20140101
AT1;AT13;AT130;92001;0000;1;41567;3322;3254;793;1123;1221;255;748;228;455;5887;24281;20140101
AT1;AT13;AT130;92101;0000;1;71790;2891;2205;992;1641;964;232;751;541;531;6893;54149;20140101
AT1;AT13;AT130;92201;0000;1;80916;2337;1809;1197;1610;935;258;711;626;512;8502;62419;20140101
AT1;AT13;AT130;92301;0000;1;45403;1380;1101;893;681;784;203;386;382;392;3154;36047;20140101
