Wanderung gegenüber Wien nach Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;
Migration in Vienna by migrationbackground and sex;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;HRV;116;93;356;263;23;100;77;938;2009
AT1;AT13;AT130;00000;00000000;2;MKD;112;115;201;86;-3;47;50;540;2009
AT1;AT13;AT130;00000;00000000;2;RUS;689;193;463;270;496;648;152;1121;2009
AT1;AT13;AT130;00000;00000000;2;CHN;11;-5;433;438;16;144;128;884;2009
AT1;AT13;AT130;00000;00000000;2;OTHER;1429;870;4432;3562;559;1197;638;7140;2009
AT1;AT13;AT130;00000;00000000;1;AUT;-805;-830;2765;3595;25;10643;10618;37840;2009
AT1;AT13;AT130;00000;00000000;1;DEU;979;1033;2408;1375;-54;402;456;2295;2009
AT1;AT13;AT130;00000;00000000;1;POL;24;72;1341;1269;-48;116;164;1896;2009
AT1;AT13;AT130;00000;00000000;1;ROU;666;764;2161;1397;-98;170;268;1325;2009
AT1;AT13;AT130;00000;00000000;1;SVK;47;85;596;511;-38;66;104;439;2009
AT1;AT13;AT130;00000;00000000;1;HUN;198;232;850;618;-34;98;132;517;2009
AT1;AT13;AT130;00000;00000000;1;BGR;338;342;984;642;-4;33;37;616;2009
AT1;AT13;AT130;00000;00000000;1;CZE;-40;-5;184;189;-35;32;67;238;2009
AT1;AT13;AT130;00000;00000000;1;REST-EU;161;198;1927;1729;-37;199;236;1455;2009
AT1;AT13;AT130;00000;00000000;1;SCG;-87;-49;1821;1870;-38;373;411;6279;2009
AT1;AT13;AT130;00000;00000000;1;TUR;579;524;1586;1062;55;386;331;5714;2009
AT1;AT13;AT130;00000;00000000;1;BIH;63;25;375;350;38;237;199;1916;2009
AT1;AT13;AT130;00000;00000000;1;HRV;-30;-15;393;408;-15;79;94;970;2009
AT1;AT13;AT130;00000;00000000;1;MKD;-3;15;266;251;-18;56;74;799;2009
AT1;AT13;AT130;00000;00000000;1;RUS;512;96;368;272;416;589;173;1098;2009
AT1;AT13;AT130;00000;00000000;1;CHN;-23;-25;440;465;2;134;132;738;2009
AT1;AT13;AT130;00000;00000000;1;OTHER;1175;13;5408;5395;1162;2400;1238;11430;2009
AT1;AT13;AT130;00000;00000000;2;AUT;-720;-945;1294;2239;225;11118;10893;36265;2010
AT1;AT13;AT130;00000;00000000;2;DEU;1000;1040;2194;1154;-40;390;430;2464;2010
AT1;AT13;AT130;00000;00000000;2;POL;321;387;1186;799;-66;125;191;1900;2010
AT1;AT13;AT130;00000;00000000;2;ROU;1052;1054;2134;1080;-2;252;254;1904;2010
AT1;AT13;AT130;00000;00000000;2;SVK;265;273;853;580;-8;133;141;1025;2010
AT1;AT13;AT130;00000;00000000;2;HUN;368;378;954;576;-10;152;162;791;2010
AT1;AT13;AT130;00000;00000000;2;BGR;504;497;1053;556;7;62;55;884;2010
AT1;AT13;AT130;00000;00000000;2;CZE;14;43;242;199;-29;73;102;470;2010
AT1;AT13;AT130;00000;00000000;2;REST-EU;478;493;1837;1344;-15;181;196;1431;2010
AT1;AT13;AT130;00000;00000000;2;SCG;663;683;2172;1489;-20;343;363;5458;2010
AT1;AT13;AT130;00000;00000000;2;TUR;344;304;893;589;40;247;207;3528;2010
AT1;AT13;AT130;00000;00000000;2;BIH;125;67;247;180;58;239;181;1586;2010
AT1;AT13;AT130;00000;00000000;2;HRV;17;19;292;273;-2;95;97;863;2010
AT1;AT13;AT130;00000;00000000;2;MKD;142;146;295;149;-4;38;42;532;2010
AT1;AT13;AT130;00000;00000000;2;RUS;479;156;470;314;323;510;187;1221;2010
AT1;AT13;AT130;00000;00000000;2;CHN;-64;-78;348;426;14;134;120;788;2010
AT1;AT13;AT130;00000;00000000;2;OTHER;1156;660;4037;3377;496;1128;632;7137;2010
