NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_AUT_BORN;POP_FOR_BORN;POP_TOTAL;REF_DATE
AT2;AT22;AT222;612;Liezen;61213;Gröbming;2541;299;2840;01.01.2012
AT2;AT22;AT222;612;Liezen;61214;Großsölk;463;24;487;01.01.2012
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;1166;75;1241;01.01.2012
AT2;AT22;AT222;612;Liezen;61216;Hall;1681;63;1744;01.01.2012
AT2;AT22;AT222;612;Liezen;61217;Haus;2237;157;2394;01.01.2012
AT2;AT22;AT222;612;Liezen;61218;Irdning;2597;143;2740;01.01.2012
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;129;11;140;01.01.2012
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;565;18;583;01.01.2012
AT2;AT22;AT222;612;Liezen;61221;Landl;1210;61;1271;01.01.2012
AT2;AT22;AT222;612;Liezen;61222;Lassing;1613;49;1662;01.01.2012
AT2;AT22;AT222;612;Liezen;61223;Liezen;5872;976;6848;01.01.2012
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;519;24;543;01.01.2012
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;1098;68;1166;01.01.2012
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;2699;397;3096;01.01.2012
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;571;24;595;01.01.2012
AT2;AT22;AT222;612;Liezen;61228;Öblarn;1307;134;1441;01.01.2012
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;241;4;245;01.01.2012
AT2;AT22;AT222;612;Liezen;61230;Palfau;395;7;402;01.01.2012
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;884;55;939;01.01.2012
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;716;47;763;01.01.2012
AT2;AT22;AT222;612;Liezen;61234;Pruggern;571;48;619;01.01.2012
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;837;83;920;01.01.2012
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;2493;272;2765;01.01.2012
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;1313;78;1391;01.01.2012
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;4460;623;5083;01.01.2012
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;1354;65;1419;01.01.2012
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;733;28;761;01.01.2012
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;479;16;495;01.01.2012
AT2;AT22;AT222;612;Liezen;61242;Schladming;3699;657;4356;01.01.2012
AT2;AT22;AT222;612;Liezen;61243;Selzthal;1539;137;1676;01.01.2012
AT2;AT22;AT222;612;Liezen;61244;Stainach;1689;265;1954;01.01.2012
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;919;91;1010;01.01.2012
AT2;AT22;AT222;612;Liezen;61246;Treglwang;345;20;365;01.01.2012
AT2;AT22;AT222;612;Liezen;61247;Trieben;3161;269;3430;01.01.2012
AT2;AT22;AT222;612;Liezen;61248;Weißenbach an der Enns;480;23;503;01.01.2012
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;1052;60;1112;01.01.2012
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;578;29;607;01.01.2012
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;507;19;526;01.01.2012
AT2;AT22;AT222;612;Liezen;61252;Wörschach;1089;70;1159;01.01.2012
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;262;13;275;01.01.2012
AT2;AT22;AT226;614;Murau;61403;Frojach-Katsch;1153;38;1191;01.01.2012
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;619;16;635;01.01.2012
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;542;9;551;01.01.2012
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;303;15;318;01.01.2012
AT2;AT22;AT226;614;Murau;61407;Kulm am Zirbitz;326;3;329;01.01.2012
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;1006;37;1043;01.01.2012
AT2;AT22;AT226;614;Murau;61409;Mariahof;1304;32;1336;01.01.2012
AT2;AT22;AT226;614;Murau;61410;Mühlen;907;25;932;01.01.2012
AT2;AT22;AT226;614;Murau;61411;Murau;1929;182;2111;01.01.2012
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;1675;111;1786;01.01.2012
AT2;AT22;AT226;614;Murau;61413;Niederwölz;572;26;598;01.01.2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;958;32;990;01.01.2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;771;18;789;01.01.2012
AT2;AT22;AT226;614;Murau;61416;Perchau am Sattel;291;8;299;01.01.2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;726;123;849;01.01.2012
AT2;AT22;AT226;614;Murau;61418;Ranten;1036;9;1045;01.01.2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;153;7;160;01.01.2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;551;20;571;01.01.2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;1272;110;1382;01.01.2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;1293;150;1443;01.01.2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;589;33;622;01.01.2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;929;31;960;01.01.2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;2038;55;2093;01.01.2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;1460;75;1535;01.01.2012
AT2;AT22;AT226;614;Murau;61428;Schöder;995;19;1014;01.01.2012
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;422;20;442;01.01.2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;959;41;1000;01.01.2012
AT2;AT22;AT226;614;Murau;61431;Stolzalpe;419;24;443;01.01.2012
AT2;AT22;AT226;614;Murau;61432;Teufenbach;646;60;706;01.01.2012
AT2;AT22;AT226;614;Murau;61433;Triebendorf;135;3;138;01.01.2012
AT2;AT22;AT226;614;Murau;61434;Winklern bei Oberwölz;870;17;887;01.01.2012
AT2;AT22;AT226;614;Murau;61435;Zeutschach;216;6;222;01.01.2012
AT2;AT22;AT226;614;Murau;61436;St.Ruprecht-Falkendorf;461;10;471;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61601;Bärnbach;4952;290;5242;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61602;Edelschrott;1565;56;1621;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61603;Gallmannsegg;306;8;314;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61604;Geistthal;814;21;835;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61605;Gößnitz;437;16;453;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61606;Graden;477;7;484;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61607;Hirschegg;654;25;679;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61608;Kainach bei Voitsberg;655;14;669;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61609;Köflach;9042;676;9718;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61610;Kohlschwarz;681;27;708;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld;2353;85;2438;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;3123;111;3234;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61613;Maria Lankowitz;2063;129;2192;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61614;Modriach;198;12;210;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen;1981;87;2068;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61616;Pack;410;8;418;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61617;Piberegg;350;11;361;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach;1605;94;1699;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61619;Salla;280;9;289;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61620;Sankt Johann-Köppling;1682;90;1772;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg;807;21;828;01.01.2012
AT2;AT22;AT225;616;Voitsberg;61622;Söding;2054;117;2171;01.01.2012
