NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_MEN;POP_WOMEN;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61040;Stocking;715;717;1432;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61041;Straß in Steiermark;860;892;1752;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61042;Sulztal an der Weinstraße;63;63;126;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61043;Tillmitsch;1590;1611;3201;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61044;Vogau;558;535;1093;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61045;Wagna;2544;2824;5368;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61046;Weitendorf;731;789;1520;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61047;Wildon;1203;1416;2619;01.01.2013
AT2;AT22;AT225;610;Leibnitz;61048;Wolfsberg im Schwarzautal;385;410;795;01.01.2013
AT2;AT22;AT223;611;Leoben;61101;Eisenerz;2185;2470;4655;01.01.2013
AT2;AT22;AT223;611;Leoben;61104;Hieflau;362;378;740;01.01.2013
AT2;AT22;AT223;611;Leoben;61105;Kalwang;520;543;1063;01.01.2013
AT2;AT22;AT223;611;Leoben;61106;Kammern im Liesingtal;797;856;1653;01.01.2013
AT2;AT22;AT223;611;Leoben;61107;Kraubath an der Mur;632;649;1281;01.01.2013
AT2;AT22;AT223;611;Leoben;61108;Leoben;11931;12414;24345;01.01.2013
AT2;AT22;AT223;611;Leoben;61109;Mautern in Steiermark;880;926;1806;01.01.2013
AT2;AT22;AT223;611;Leoben;61110;Niklasdorf;1239;1331;2570;01.01.2013
AT2;AT22;AT223;611;Leoben;61111;Proleb;761;800;1561;01.01.2013
AT2;AT22;AT223;611;Leoben;61112;Radmer;315;320;635;01.01.2013
AT2;AT22;AT223;611;Leoben;61113;Sankt Michael in Obersteiermark;1453;1571;3024;01.01.2013
AT2;AT22;AT223;611;Leoben;61114;Sankt Peter-Freienstein;1192;1244;2436;01.01.2013
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;971;992;1963;01.01.2013
AT2;AT22;AT223;611;Leoben;61116;Traboch;692;688;1380;01.01.2013
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;507;548;1055;01.01.2013
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;313;307;620;01.01.2013
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;5439;5801;11240;01.01.2013
AT2;AT22;AT222;612;Liezen;61201;Admont;1177;1305;2482;01.01.2013
AT2;AT22;AT222;612;Liezen;61202;Aich;447;479;926;01.01.2013
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;1271;1289;2560;01.01.2013
AT2;AT22;AT222;612;Liezen;61204;Altaussee;892;892;1784;01.01.2013
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;401;448;849;01.01.2013
AT2;AT22;AT222;612;Liezen;61206;Ardning;595;611;1206;01.01.2013
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;2292;2565;4857;01.01.2013
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;548;544;1092;01.01.2013
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;153;164;317;01.01.2013
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;487;511;998;01.01.2013
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;273;292;565;01.01.2013
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;142;141;283;01.01.2013
AT2;AT22;AT222;612;Liezen;61213;Gröbming;1349;1464;2813;01.01.2013
AT2;AT22;AT222;612;Liezen;61214;Großsölk;248;236;484;01.01.2013
