Wanderung gegenüber Wien nach Zählbezirken, Migrationshintergrund und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, migrationbackground and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;MIG_BACKGROUND;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010107;2;HUN;0;0;0;0;0;0;0;2;2;0;2007
AT1;AT13;AT130;00000;9010107;2;CZE;0;1;1;0;-1;0;1;1;1;0;2007
AT1;AT13;AT130;00000;9010107;2;REST-EU;-3;1;6;5;-4;1;0;2;7;0;2007
AT1;AT13;AT130;00000;9010107;2;SCG;3;-1;0;1;4;2;1;3;0;0;2007
AT1;AT13;AT130;00000;9010107;2;TUR;1;0;0;0;1;1;0;4;4;0;2007
AT1;AT13;AT130;00000;9010107;2;BIH;0;0;0;0;0;0;0;0;0;2;2007
AT1;AT13;AT130;00000;9010107;2;HRV;2;0;0;0;2;1;0;1;0;0;2007
AT1;AT13;AT130;00000;9010107;2;RUS;-1;0;0;0;-1;1;0;0;2;0;2007
AT1;AT13;AT130;00000;9010107;2;CHN;-4;0;0;0;-4;0;0;0;4;0;2007
AT1;AT13;AT130;00000;9010107;2;OTHER;0;2;11;9;-2;1;2;13;14;0;2007
AT1;AT13;AT130;00000;9010107;1;AUT;0;-10;4;14;10;22;15;55;52;3;2007
AT1;AT13;AT130;00000;9010107;1;DEU;-2;3;3;0;-5;0;2;2;5;0;2007
AT1;AT13;AT130;00000;9010107;1;POL;-2;0;0;0;-2;0;1;0;1;0;2007
AT1;AT13;AT130;00000;9010107;1;ROU;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010107;1;SVK;-2;-1;0;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010107;1;HUN;-2;-2;0;2;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010107;1;BGR;-1;0;0;0;-1;0;1;0;0;0;2007
AT1;AT13;AT130;00000;9010107;1;CZE;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010107;1;REST-EU;-2;4;11;7;-6;0;2;5;9;0;2007
AT1;AT13;AT130;00000;9010107;1;SCG;0;-1;1;2;1;0;0;4;3;0;2007
AT1;AT13;AT130;00000;9010107;1;TUR;0;1;1;0;-1;0;0;2;3;0;2007
AT1;AT13;AT130;00000;9010107;1;HRV;4;2;2;0;2;2;0;0;0;0;2007
AT1;AT13;AT130;00000;9010107;1;MKD;1;0;0;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010107;1;RUS;1;1;1;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010107;1;CHN;-1;-2;0;2;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9010107;1;OTHER;4;5;17;12;-1;0;2;21;20;1;2007
AT1;AT13;AT130;00000;9010199;2;AUT;-18;-1;0;1;-17;1;6;1;13;0;2007
AT1;AT13;AT130;00000;9010199;2;DEU;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010199;2;POL;0;0;1;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010199;2;SVK;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;REST-EU;-2;-1;0;1;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;SCG;-2;0;0;0;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010199;2;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;RUS;-1;-1;0;1;0;0;0;0;0;0;2007
AT1;AT13;AT130;00000;9010199;2;CHN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;OTHER;-12;-4;0;4;-8;0;0;0;8;0;2007
AT1;AT13;AT130;00000;9010199;1;AUT;-32;-6;0;6;-26;0;3;1;24;0;2007
