Bevölkerungsindikatoren in Wien nach Wiener Bezirk ;;;;;;;;;;;;;;;;;;;;;;;
population indicators in Vienna by Vienna district ;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;DISTRICT_POP_RATIO;POP_DENSITY;RATE_M;RATE_F;SEX_RATIO;RATE_FOR_NATIONAL;RATE_FOR_BORN;RATE_MIG_BACKGROUND;AVERAGE_AGE_M;AVERAGE_AGE_F;WORKINGAGE_RATIO;YOUTH_RATIO;AGE_RATIO;OLD_AGE_RATIO;DEPENDENCY_RATIO;YOUTH_DEP_RATIO;AGE_DEP_RATIO;OLD_AGED_DER_RATIO;REF_DATE
AT1;AT13;AT130;91001;0;10,38726119;5604,821337;48,4974041;51,5025959;106,1966034;25,60804674;34,80079391;38,86284888;38,46481462;41,53098771;62,35997264;20,96794088;16,67208648;2,1367138;60,35927498;33,62403798;26,735237;12,81611515;20120101
AT1;AT13;AT130;91101;0;5,312669619;3922,495211;48,72784276;51,27215724;105,2214798;20,202142;29,57368208;32,8557491;37,28710265;39,85739331;63,37327209;22,29700843;14,32971948;1,521546101;57,79522928;35,18361557;22,61161371;10,61811506;20120101
AT1;AT13;AT130;91201;0;5,154960386;10923,34842;47,8596848;52,1403152;108,9441258;24,77207253;34,34107213;38,02293397;38,23525246;41,76963079;63,39603457;20,31971982;16,28424561;2,684290798;57,73857257;32,052036;25,68653658;16,48397391;20120101
AT1;AT13;AT130;91301;0;2,949768328;1342,976126;45,36623889;54,63376111;120,4282357;12,50345508;20,32773939;21,86969398;42,64962138;47,25563747;57,16683119;17,62092794;25,21224087;4,793682132;74,92661026;30,82369194;44,10291832;19,01331245;20120101
AT1;AT13;AT130;91401;0;4,948680437;2516,758427;47,43153708;52,56846292;110,8301906;18,30228425;26,10005531;28,64086239;40,44978166;43,81501713;62,83054617;18,20460617;18,96484766;2,95976369;59,15825357;28,97413325;30,18412032;15,60657772;20120101
AT1;AT13;AT130;91501;0;4,172830217;18288,96954;49,44662322;50,55337678;102,2382794;34,28563453;42,95124981;47,56388606;37,37703576;40,06714152;67,60826785;19,04230227;13,34942988;1,909254581;47,91090376;28,16564139;19,74526238;14,30214323;20120101
AT1;AT13;AT130;91601;0;5,573635303;11034,16401;48,71583215;51,28416785;105,272076;28,68323163;36,9409847;41,02858815;38,33376231;41,36855402;65,55107415;19,10264984;15,34627602;2,126347906;52,55280147;29,14162748;23,41117399;13,85579084;20120101
AT1;AT13;AT130;91701;0;3,066070151;4621,810917;48,27245617;51,72754383;107,1574723;26,70047676;33,96394856;37,67736053;38,81093098;41,47343297;65,2344863;18,82728361;15,9382301;2,294527703;53,29315164;28,86093641;24,43221523;14,39637707;20120101
AT1;AT13;AT130;91801;0;2,774005232;7504,566953;46,04047699;53,95952301;117,2001824;21,79417199;28,94482701;31,52082634;39,55481076;43,01058283;63,29988243;18,01310044;18,68701713;3,377981189;57,97817651;28,4567676;29,52140891;18,0766206;20120101
AT1;AT13;AT130;91901;0;3,9869919;2744,517007;45,87350278;54,12649722;117,9907658;17,38241309;26,55273152;28,48524686;41,37688266;46,08884091;58,71311715;17,77388256;23,51300029;4,580777096;70,3196915;30,27242194;40,04726956;19,48189104;20120101
