NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;DEATHS;YEAR
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;10;2012
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;8;2012
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;0;2012
AT2;AT22;AT222;612;Liezen;61213;Gröbming;19;2012
AT2;AT22;AT222;612;Liezen;61214;Großsölk;3;2012
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;5;2012
AT2;AT22;AT222;612;Liezen;61216;Hall;16;2012
AT2;AT22;AT222;612;Liezen;61217;Haus;24;2012
AT2;AT22;AT222;612;Liezen;61218;Irdning;26;2012
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;1;2012
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;5;2012
AT2;AT22;AT222;612;Liezen;61221;Landl;19;2012
AT2;AT22;AT222;612;Liezen;61222;Lassing;31;2012
AT2;AT22;AT222;612;Liezen;61223;Liezen;69;2012
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;5;2012
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;9;2012
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;26;2012
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;5;2012
AT2;AT22;AT222;612;Liezen;61228;Öblarn;12;2012
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;0;2012
AT2;AT22;AT222;612;Liezen;61230;Palfau;5;2012
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;1;2012
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;9;2012
AT2;AT22;AT222;612;Liezen;61234;Pruggern;9;2012
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;16;2012
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;12;2012
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;13;2012
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;34;2012
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;18;2012
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;7;2012
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;4;2012
AT2;AT22;AT222;612;Liezen;61242;Schladming;46;2012
AT2;AT22;AT222;612;Liezen;61243;Selzthal;8;2012
AT2;AT22;AT222;612;Liezen;61244;Stainach;15;2012
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;9;2012
AT2;AT22;AT222;612;Liezen;61246;Treglwang;3;2012
AT2;AT22;AT222;612;Liezen;61247;Trieben;53;2012
AT2;AT22;AT222;612;Liezen;61248;Weißenbach an der Enns;3;2012
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;5;2012
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;4;2012
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;10;2012
AT2;AT22;AT222;612;Liezen;61252;Wörschach;11;2012
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;0;2012
AT2;AT22;AT226;614;Murau;61403;Frojach-Katsch;10;2012
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;2;2012
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;0;2012
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;2;2012
AT2;AT22;AT226;614;Murau;61407;Kulm am Zirbitz;3;2012
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;5;2012
AT2;AT22;AT226;614;Murau;61409;Mariahof;11;2012
AT2;AT22;AT226;614;Murau;61410;Mühlen;8;2012
AT2;AT22;AT226;614;Murau;61411;Murau;44;2012
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;25;2012
AT2;AT22;AT226;614;Murau;61413;Niederwölz;5;2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;11;2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;1;2012
AT2;AT22;AT226;614;Murau;61416;Perchau am Sattel;2;2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;3;2012
AT2;AT22;AT226;614;Murau;61418;Ranten;7;2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;0;2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;5;2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;6;2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;20;2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;2;2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;7;2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;27;2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;13;2012
AT2;AT22;AT226;614;Murau;61428;Schöder;12;2012
