NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;LIVEBIRTHS;YEAR
AT2;AT22;AT223;611;Leoben;61115;Sankt Stefan ob Leoben;9;2012
AT2;AT22;AT223;611;Leoben;61116;Traboch;12;2012
AT2;AT22;AT223;611;Leoben;61118;Vordernberg;9;2012
AT2;AT22;AT223;611;Leoben;61119;Wald am Schoberpaß;7;2012
AT2;AT22;AT223;611;Leoben;61120;Trofaiach;64;2012
AT2;AT22;AT222;612;Liezen;61201;Admont;25;2012
AT2;AT22;AT222;612;Liezen;61202;Aich;9;2012
AT2;AT22;AT222;612;Liezen;61203;Aigen im Ennstal;24;2012
AT2;AT22;AT222;612;Liezen;61204;Altaussee;11;2012
AT2;AT22;AT222;612;Liezen;61205;Altenmarkt bei Sankt Gallen;8;2012
AT2;AT22;AT222;612;Liezen;61206;Ardning;7;2012
AT2;AT22;AT222;612;Liezen;61207;Bad Aussee;39;2012
AT2;AT22;AT222;612;Liezen;61208;Donnersbach;8;2012
AT2;AT22;AT222;612;Liezen;61209;Donnersbachwald;1;2012
AT2;AT22;AT222;612;Liezen;61210;Gaishorn am See;3;2012
AT2;AT22;AT222;612;Liezen;61211;Gams bei Hieflau;5;2012
AT2;AT22;AT222;612;Liezen;61212;Gössenberg;3;2012
AT2;AT22;AT222;612;Liezen;61213;Gröbming;28;2012
AT2;AT22;AT222;612;Liezen;61214;Großsölk;4;2012
AT2;AT22;AT222;612;Liezen;61215;Grundlsee;8;2012
AT2;AT22;AT222;612;Liezen;61216;Hall;12;2012
AT2;AT22;AT222;612;Liezen;61217;Haus;27;2012
AT2;AT22;AT222;612;Liezen;61218;Irdning;20;2012
AT2;AT22;AT222;612;Liezen;61219;Johnsbach;1;2012
AT2;AT22;AT222;612;Liezen;61220;Kleinsölk;8;2012
AT2;AT22;AT222;612;Liezen;61221;Landl;7;2012
AT2;AT22;AT222;612;Liezen;61222;Lassing;9;2012
AT2;AT22;AT222;612;Liezen;61223;Liezen;60;2012
AT2;AT22;AT222;612;Liezen;61224;Michaelerberg;4;2012
AT2;AT22;AT222;612;Liezen;61225;Mitterberg;14;2012
AT2;AT22;AT222;612;Liezen;61226;Bad Mitterndorf;19;2012
AT2;AT22;AT222;612;Liezen;61227;Niederöblarn;7;2012
AT2;AT22;AT222;612;Liezen;61228;Öblarn;7;2012
AT2;AT22;AT222;612;Liezen;61229;Oppenberg;2;2012
AT2;AT22;AT222;612;Liezen;61230;Palfau;5;2012
AT2;AT22;AT222;612;Liezen;61232;Pichl-Preunegg;9;2012
AT2;AT22;AT222;612;Liezen;61233;Pichl-Kainisch;11;2012
AT2;AT22;AT222;612;Liezen;61234;Pruggern;7;2012
AT2;AT22;AT222;612;Liezen;61235;Pürgg-Trautenfels;5;2012
AT2;AT22;AT222;612;Liezen;61236;Ramsau am Dachstein;27;2012
AT2;AT22;AT222;612;Liezen;61237;Rohrmoos-Untertal;17;2012
AT2;AT22;AT222;612;Liezen;61238;Rottenmann;43;2012
AT2;AT22;AT222;612;Liezen;61239;Sankt Gallen;11;2012
AT2;AT22;AT222;612;Liezen;61240;Sankt Martin am Grimming;7;2012
AT2;AT22;AT222;612;Liezen;61241;Sankt Nikolai im Sölktal;3;2012
AT2;AT22;AT222;612;Liezen;61242;Schladming;43;2012
AT2;AT22;AT222;612;Liezen;61243;Selzthal;15;2012
AT2;AT22;AT222;612;Liezen;61244;Stainach;14;2012
AT2;AT22;AT222;612;Liezen;61245;Tauplitz;3;2012
AT2;AT22;AT222;612;Liezen;61246;Treglwang;1;2012
AT2;AT22;AT222;612;Liezen;61247;Trieben;25;2012
AT2;AT22;AT222;612;Liezen;61248;Weißenbach an der Enns;3;2012
AT2;AT22;AT222;612;Liezen;61249;Weißenbach bei Liezen;10;2012
AT2;AT22;AT222;612;Liezen;61250;Weng im Gesäuse;3;2012
AT2;AT22;AT222;612;Liezen;61251;Wildalpen;2;2012
AT2;AT22;AT222;612;Liezen;61252;Wörschach;6;2012
AT2;AT22;AT226;614;Murau;61401;Dürnstein in der Steiermark;7;2012
AT2;AT22;AT226;614;Murau;61403;Frojach-Katsch;9;2012
AT2;AT22;AT226;614;Murau;61404;Krakaudorf;8;2012
AT2;AT22;AT226;614;Murau;61405;Krakauhintermühlen;3;2012
AT2;AT22;AT226;614;Murau;61406;Krakauschatten;1;2012
AT2;AT22;AT226;614;Murau;61407;Kulm am Zirbitz;1;2012
AT2;AT22;AT226;614;Murau;61408;Laßnitz bei Murau;7;2012
AT2;AT22;AT226;614;Murau;61409;Mariahof;13;2012
AT2;AT22;AT226;614;Murau;61410;Mühlen;7;2012
AT2;AT22;AT226;614;Murau;61411;Murau;19;2012
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;9;2012
AT2;AT22;AT226;614;Murau;61413;Niederwölz;7;2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;8;2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;5;2012
AT2;AT22;AT226;614;Murau;61416;Perchau am Sattel;3;2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;7;2012
AT2;AT22;AT226;614;Murau;61418;Ranten;12;2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;1;2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;5;2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;12;2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;6;2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;5;2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;7;2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;25;2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;9;2012
AT2;AT22;AT226;614;Murau;61428;Schöder;10;2012
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;1;2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;8;2012
AT2;AT22;AT226;614;Murau;61431;Stolzalpe;5;2012
AT2;AT22;AT226;614;Murau;61432;Teufenbach;3;2012
AT2;AT22;AT226;614;Murau;61433;Triebendorf;4;2012
AT2;AT22;AT226;614;Murau;61434;Winklern bei Oberwölz;3;2012
AT2;AT22;AT226;614;Murau;61435;Zeutschach;3;2012
AT2;AT22;AT226;614;Murau;61436;St.Ruprecht-Falkendorf;5;2012
AT2;AT22;AT225;616;Voitsberg;61601;Bärnbach;48;2012
AT2;AT22;AT225;616;Voitsberg;61602;Edelschrott;10;2012
AT2;AT22;AT225;616;Voitsberg;61603;Gallmannsegg;3;2012
AT2;AT22;AT225;616;Voitsberg;61604;Geistthal;5;2012
AT2;AT22;AT225;616;Voitsberg;61605;Gößnitz;5;2012
AT2;AT22;AT225;616;Voitsberg;61606;Graden;5;2012
AT2;AT22;AT225;616;Voitsberg;61607;Hirschegg;3;2012
AT2;AT22;AT225;616;Voitsberg;61608;Kainach bei Voitsberg;5;2012
AT2;AT22;AT225;616;Voitsberg;61609;Köflach;72;2012
AT2;AT22;AT225;616;Voitsberg;61610;Kohlschwarz;6;2012
AT2;AT22;AT225;616;Voitsberg;61611;Krottendorf-Gaisfeld;21;2012
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;32;2012
AT2;AT22;AT225;616;Voitsberg;61613;Maria Lankowitz;10;2012
AT2;AT22;AT225;616;Voitsberg;61614;Modriach;2;2012
AT2;AT22;AT225;616;Voitsberg;61615;Mooskirchen;20;2012
AT2;AT22;AT225;616;Voitsberg;61616;Pack;1;2012
AT2;AT22;AT225;616;Voitsberg;61617;Piberegg;6;2012
AT2;AT22;AT225;616;Voitsberg;61618;Rosental an der Kainach;11;2012
AT2;AT22;AT225;616;Voitsberg;61619;Salla;1;2012
AT2;AT22;AT225;616;Voitsberg;61620;Sankt Johann-Köppling;20;2012
AT2;AT22;AT225;616;Voitsberg;61621;Sankt Martin am Wöllmißberg;7;2012
AT2;AT22;AT225;616;Voitsberg;61622;Söding;22;2012
AT2;AT22;AT225;616;Voitsberg;61623;Södingberg;7;2012
AT2;AT22;AT225;616;Voitsberg;61624;Stallhofen;27;2012
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;85;2012
AT2;AT22;AT224;617;Weiz;61701;Albersdorf-Prebuch;17;2012
AT2;AT22;AT224;617;Weiz;61702;Anger;10;2012
AT2;AT22;AT224;617;Weiz;61703;Arzberg;5;2012
AT2;AT22;AT224;617;Weiz;61704;Baierdorf bei Anger;10;2012
AT2;AT22;AT224;617;Weiz;61705;Birkfeld;13;2012
AT2;AT22;AT224;617;Weiz;61706;Etzersdorf-Rollsdorf;3;2012
AT2;AT22;AT224;617;Weiz;61707;Feistritz bei Anger;17;2012
AT2;AT22;AT224;617;Weiz;61708;Fischbach;15;2012
AT2;AT22;AT224;617;Weiz;61709;Fladnitz an der Teichalm;19;2012
AT2;AT22;AT224;617;Weiz;61710;Floing;9;2012
AT2;AT22;AT224;617;Weiz;61711;Gasen;12;2012
AT2;AT22;AT224;617;Weiz;61712;Gersdorf an der Feistritz;11;2012
AT2;AT22;AT224;617;Weiz;61713;Gleisdorf;62;2012
AT2;AT22;AT224;617;Weiz;61714;Gschaid bei Birkfeld;7;2012
AT2;AT22;AT224;617;Weiz;61715;Gutenberg an der Raabklamm;16;2012
AT2;AT22;AT224;617;Weiz;61716;Markt Hartmannsdorf;23;2012
AT2;AT22;AT224;617;Weiz;61717;Haslau bei Birkfeld;2;2012
AT2;AT22;AT224;617;Weiz;61718;Hirnsdorf;6;2012
AT2;AT22;AT224;617;Weiz;61719;Hofstätten an der Raab;20;2012
AT2;AT22;AT224;617;Weiz;61720;Hohenau an der Raab;11;2012
AT2;AT22;AT224;617;Weiz;61721;Ilztal;17;2012
AT2;AT22;AT224;617;Weiz;61722;Koglhof;7;2012
AT2;AT22;AT224;617;Weiz;61723;Krottendorf;23;2012
AT2;AT22;AT224;617;Weiz;61724;Kulm bei Weiz;6;2012
AT2;AT22;AT224;617;Weiz;61725;Labuch;8;2012
AT2;AT22;AT224;617;Weiz;61726;Laßnitzthal;6;2012
AT2;AT22;AT224;617;Weiz;61727;Ludersdorf-Wilfersdorf;23;2012
AT2;AT22;AT224;617;Weiz;61728;Miesenbach bei Birkfeld;6;2012
AT2;AT22;AT224;617;Weiz;61729;Mitterdorf an der Raab;23;2012
AT2;AT22;AT224;617;Weiz;61730;Mortantsch;15;2012
AT2;AT22;AT224;617;Weiz;61731;Naas;12;2012
AT2;AT22;AT224;617;Weiz;61732;Naintsch;7;2012
AT2;AT22;AT224;617;Weiz;61733;Neudorf bei Passail;4;2012
AT2;AT22;AT224;617;Weiz;61734;Nitscha;11;2012
AT2;AT22;AT224;617;Weiz;61735;Oberrettenbach;10;2012
AT2;AT22;AT224;617;Weiz;61736;Passail;24;2012
AT2;AT22;AT224;617;Weiz;61737;Pischelsdorf in der Steiermark;19;2012
AT2;AT22;AT224;617;Weiz;61739;Preßguts;2;2012
AT2;AT22;AT224;617;Weiz;61740;Puch bei Weiz;9;2012
AT2;AT22;AT224;617;Weiz;61741;Ratten;9;2012
AT2;AT22;AT224;617;Weiz;61742;Reichendorf;5;2012
AT2;AT22;AT224;617;Weiz;61743;Rettenegg;6;2012
AT2;AT22;AT224;617;Weiz;61744;Sankt Kathrein am Hauenstein;7;2012
AT2;AT22;AT224;617;Weiz;61745;Sankt Kathrein am Offenegg;5;2012
AT2;AT22;AT224;617;Weiz;61746;Sankt Margarethen an der Raab;48;2012
AT2;AT22;AT224;617;Weiz;61747;Sankt Ruprecht an der Raab;32;2012
AT2;AT22;AT224;617;Weiz;61748;Sinabelkirchen;50;2012
AT2;AT22;AT224;617;Weiz;61749;Stenzengreith;9;2012
AT2;AT22;AT224;617;Weiz;61750;Strallegg;13;2012
AT2;AT22;AT224;617;Weiz;61751;Thannhausen;27;2012
AT2;AT22;AT224;617;Weiz;61752;Ungerdorf;8;2012
AT2;AT22;AT224;617;Weiz;61753;Unterfladnitz;16;2012
AT2;AT22;AT224;617;Weiz;61754;Waisenegg;6;2012
AT2;AT22;AT224;617;Weiz;61755;Weiz;99;2012
AT2;AT22;AT226;620;Murtal;62001;Amering;14;2012
AT2;AT22;AT226;620;Murtal;62002;Apfelberg;11;2012
AT2;AT22;AT226;620;Murtal;62003;Bretstein;4;2012
AT2;AT22;AT226;620;Murtal;62004;Eppenstein;8;2012
AT2;AT22;AT226;620;Murtal;62005;Feistritz bei Knittelfeld;3;2012
AT2;AT22;AT226;620;Murtal;62006;Flatschach;1;2012
AT2;AT22;AT226;620;Murtal;62007;Fohnsdorf;49;2012
AT2;AT22;AT226;620;Murtal;62008;Gaal;9;2012
AT2;AT22;AT226;620;Murtal;62009;Großlobming;13;2012
AT2;AT22;AT226;620;Murtal;62010;Hohentauern;1;2012
AT2;AT22;AT226;620;Murtal;62011;Judenburg;73;2012
AT2;AT22;AT226;620;Murtal;62012;Kleinlobming;5;2012
AT2;AT22;AT226;620;Murtal;62013;Knittelfeld;84;2012
AT2;AT22;AT226;620;Murtal;62014;Kobenz;17;2012
AT2;AT22;AT226;620;Murtal;62015;Maria Buch-Feistritz;21;2012
AT2;AT22;AT226;620;Murtal;62016;Obdach;21;2012
AT2;AT22;AT226;620;Murtal;62017;Oberkurzheim;3;2012
AT2;AT22;AT226;620;Murtal;62018;Oberweg;5;2012
AT2;AT22;AT226;620;Murtal;62019;Oberzeiring;6;2012
AT2;AT22;AT226;620;Murtal;62020;Pöls;13;2012
AT2;AT22;AT226;620;Murtal;62021;Pusterwald;6;2012
AT2;AT22;AT226;620;Murtal;62022;Rachau;8;2012
AT2;AT22;AT226;620;Murtal;62023;Reifling;4;2012
AT2;AT22;AT226;620;Murtal;62024;Reisstraße;0;2012
