Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;1;HUN;-57;-30;398;428;-27;74;101;358;2004
AT1;AT13;AT130;00000;00000000;1;BGR;134;136;501;365;-2;32;34;482;2004
AT1;AT13;AT130;00000;00000000;1;CZE;-48;-11;185;196;-37;55;92;299;2004
AT1;AT13;AT130;00000;00000000;1;REST-EU;304;333;1445;1112;-29;132;161;988;2004
AT1;AT13;AT130;00000;00000000;1;SCG;2286;2262;4075;1813;24;439;415;6714;2004
AT1;AT13;AT130;00000;00000000;1;TUR;1137;1101;1994;893;36;381;345;5348;2004
AT1;AT13;AT130;00000;00000000;1;BIH;782;671;1072;401;111;284;173;2200;2004
AT1;AT13;AT130;00000;00000000;1;HRV;101;117;351;234;-16;48;64;457;2004
AT1;AT13;AT130;00000;00000000;1;MKD;266;247;407;160;19;86;67;719;2004
AT1;AT13;AT130;00000;00000000;1;RUS;491;506;741;235;-15;210;225;937;2004
AT1;AT13;AT130;00000;00000000;1;CHN;273;292;578;286;-19;130;149;887;2004
AT1;AT13;AT130;00000;00000000;1;OTHER;3516;3425;7341;3916;91;1420;1329;11460;2004
AT1;AT13;AT130;00000;00000000;2;AUT;-2039;-373;1452;1825;-1666;9412;11078;39388;2005
AT1;AT13;AT130;00000;00000000;2;DEU;921;970;1555;585;-49;263;312;1432;2005
AT1;AT13;AT130;00000;00000000;2;POL;1190;1281;1929;648;-91;117;208;1690;2005
AT1;AT13;AT130;00000;00000000;2;ROU;465;459;1042;583;6;208;202;1165;2005
AT1;AT13;AT130;00000;00000000;2;SVK;529;547;940;393;-18;108;126;823;2005
AT1;AT13;AT130;00000;00000000;2;HUN;128;161;447;286;-33;108;141;551;2005
AT1;AT13;AT130;00000;00000000;2;BGR;151;149;477;328;2;50;48;664;2005
AT1;AT13;AT130;00000;00000000;2;CZE;16;81;252;171;-65;81;146;545;2005
AT1;AT13;AT130;00000;00000000;2;REST-EU;270;283;1166;883;-13;115;128;942;2005
AT1;AT13;AT130;00000;00000000;2;SCG;1908;1951;2860;909;-43;348;391;6151;2005
AT1;AT13;AT130;00000;00000000;2;TUR;1378;1348;1751;403;30;210;180;3512;2005
AT1;AT13;AT130;00000;00000000;2;BIH;517;470;704;234;47;218;171;1868;2005
AT1;AT13;AT130;00000;00000000;2;HRV;105;113;273;160;-8;46;54;476;2005
AT1;AT13;AT130;00000;00000000;2;MKD;242;225;285;60;17;55;38;438;2005
AT1;AT13;AT130;00000;00000000;2;RUS;496;273;418;145;223;309;86;983;2005
AT1;AT13;AT130;00000;00000000;2;CHN;194;222;518;296;-28;166;194;1047;2005
AT1;AT13;AT130;00000;00000000;2;OTHER;2344;2099;4300;2201;245;833;588;6338;2005
AT1;AT13;AT130;00000;00000000;1;AUT;-1550;241;3691;3450;-1791;9329;11120;39268;2005
AT1;AT13;AT130;00000;00000000;1;DEU;997;1050;1700;650;-53;259;312;1432;2005
AT1;AT13;AT130;00000;00000000;1;POL;1702;1768;2824;1056;-66;140;206;1870;2005
AT1;AT13;AT130;00000;00000000;1;ROU;279;319;1010;691;-40;150;190;814;2005
AT1;AT13;AT130;00000;00000000;1;SVK;180;221;578;357;-41;47;88;352;2005
AT1;AT13;AT130;00000;00000000;1;HUN;74;106;441;335;-32;63;95;396;2005
AT1;AT13;AT130;00000;00000000;1;BGR;-2;15;376;361;-17;27;44;474;2005
AT1;AT13;AT130;00000;00000000;1;CZE;-21;10;174;164;-31;42;73;286;2005
AT1;AT13;AT130;00000;00000000;1;REST-EU;268;311;1488;1177;-43;132;175;1024;2005
AT1;AT13;AT130;00000;00000000;1;SCG;2090;2132;3694;1562;-42;509;551;7144;2005
AT1;AT13;AT130;00000;00000000;1;TUR;1142;1129;1867;738;13;351;338;5629;2005
AT1;AT13;AT130;00000;00000000;1;BIH;560;558;944;386;2;217;215;2223;2005
AT1;AT13;AT130;00000;00000000;1;HRV;49;64;283;219;-15;52;67;468;2005
AT1;AT13;AT130;00000;00000000;1;MKD;299;283;428;145;16;99;83;776;2005
AT1;AT13;AT130;00000;00000000;1;RUS;302;137;329;192;165;281;116;1082;2005
AT1;AT13;AT130;00000;00000000;1;CHN;195;194;511;317;1;144;143;916;2005
AT1;AT13;AT130;00000;00000000;1;OTHER;1802;1610;5660;4050;192;1527;1335;12348;2005
AT1;AT13;AT130;00000;00000000;2;AUT;-1989;-586;1299;1885;-1403;9902;11305;38982;2006
AT1;AT13;AT130;00000;00000000;2;DEU;834;899;1579;680;-65;283;348;1703;2006
AT1;AT13;AT130;00000;00000000;2;POL;912;974;1630;656;-62;124;186;1888;2006
AT1;AT13;AT130;00000;00000000;2;ROU;215;212;915;703;3;185;182;1217;2006
AT1;AT13;AT130;00000;00000000;2;SVK;264;284;783;499;-20;100;120;871;2006
