NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;POP_0_14;POP_15_29;POP_30_44;POP_45_59;POP_60_74;POP_75;POP_TOTAL;REF_DATE
AT2;AT22;AT225;610;Leibnitz;61012;Gralla;314;423;499;475;257;98;2066;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61013;Großklein;320;410;500;523;338;180;2271;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61014;Hainsdorf im Schwarzautal;41;56;50;68;39;29;283;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61015;Heiligenkreuz am Waasen;273;363;410;430;238;153;1867;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61016;Heimschuh;300;341;420;448;290;155;1954;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61017;Hengsberg;216;234;335;315;207;84;1391;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61018;Kaindorf an der Sulm;306;468;525;601;441;199;2540;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61019;Kitzeck im Sausal;148;194;255;295;218;98;1208;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61020;Lang;177;219;268;300;168;82;1214;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61021;Lebring-Sankt Margarethen;259;334;425;515;324;142;1999;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61022;Leibnitz;1092;1505;1706;1707;1212;630;7852;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61023;Leutschach;91;125;111;113;68;44;552;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61024;Oberhaag;322;409;465;518;355;188;2257;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61025;Obervogau;142;171;186;202;112;63;876;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61026;Pistorf;180;292;297;349;187;100;1405;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61027;Ragnitz;178;283;304;346;211;128;1450;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61028;Ratsch an der Weinstraße;76;77;106;86;71;32;448;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61029;Retznei;69;74;103;89;58;26;419;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61030;Sankt Andrä-Höch;220;296;358;425;289;152;1740;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61031;Sankt Georgen an der Stiefing;159;179;231;277;159;103;1108;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61032;Sankt Johann im Saggautal;274;387;427;491;311;159;2049;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61033;Sankt Nikolai im Sausal;292;376;427;553;359;203;2210;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61034;Sankt Nikolai ob Draßling;138;166;240;255;167;89;1055;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61035;Sankt Ulrich am Waasen;111;145;159;198;115;45;773;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61036;Sankt Veit am Vogau;287;355;393;443;287;140;1905;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61037;Schloßberg;149;214;215;257;141;95;1071;01.01.2012
AT2;AT22;AT225;610;Leibnitz;61038;Seggauberg;118;151;197;248;180;81;975;01.01.2012
