Sterbefälle in Wien gemeldeter Personen nach Geschlecht und Wiener Zählbezirk;;;;;;;
Deaths of residents in Vienna by sex and Vienna subdistrict ;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;DEATH;REF_YEAR
AT1;AT13;AT130;92001;2004;1;26;2010
AT1;AT13;AT130;92001;2005;1;37;2010
AT1;AT13;AT130;92001;2006;1;23;2010
AT1;AT13;AT130;92001;2007;1;59;2010
AT1;AT13;AT130;92001;2008;1;14;2010
AT1;AT13;AT130;92001;2099;1;53;2010
AT1;AT13;AT130;92101;2101;1;3;2010
AT1;AT13;AT130;92101;2102;1;22;2010
AT1;AT13;AT130;92101;2103;1;18;2010
AT1;AT13;AT130;92101;2104;1;13;2010
AT1;AT13;AT130;92101;2105;1;92;2010
AT1;AT13;AT130;92101;2106;1;3;2010
AT1;AT13;AT130;92101;2107;1;11;2010
AT1;AT13;AT130;92101;2108;1;11;2010
AT1;AT13;AT130;92101;2109;1;37;2010
AT1;AT13;AT130;92101;2110;1;12;2010
AT1;AT13;AT130;92101;2111;1;12;2010
AT1;AT13;AT130;92101;2112;1;21;2010
AT1;AT13;AT130;92101;2113;1;9;2010
AT1;AT13;AT130;92101;2114;1;34;2010
AT1;AT13;AT130;92101;2115;1;16;2010
AT1;AT13;AT130;92101;2116;1;15;2010
AT1;AT13;AT130;92101;2117;1;47;2010
AT1;AT13;AT130;92101;2118;1;34;2010
AT1;AT13;AT130;92101;2119;1;9;2010
AT1;AT13;AT130;92101;2120;1;5;2010
AT1;AT13;AT130;92101;2121;1;29;2010
AT1;AT13;AT130;92101;2122;1;43;2010
AT1;AT13;AT130;92101;2123;1;41;2010
AT1;AT13;AT130;92101;2124;1;24;2010
AT1;AT13;AT130;92101;2125;1;9;2010
AT1;AT13;AT130;92101;2126;1;28;2010
AT1;AT13;AT130;92101;2127;1;8;2010
AT1;AT13;AT130;92101;2128;1;2;2010
AT1;AT13;AT130;92101;2199;1;59;2010
AT1;AT13;AT130;92201;2201;1;5;2010
AT1;AT13;AT130;92201;2202;1;4;2010
AT1;AT13;AT130;92201;2203;1;9;2010
AT1;AT13;AT130;92201;2204;1;13;2010
AT1;AT13;AT130;92201;2205;1;10;2010
AT1;AT13;AT130;92201;2206;1;49;2010
AT1;AT13;AT130;92201;2207;1;13;2010
AT1;AT13;AT130;92201;2208;1;43;2010
AT1;AT13;AT130;92201;2209;1;42;2010
AT1;AT13;AT130;92201;2210;1;20;2010
AT1;AT13;AT130;92201;2211;1;35;2010
AT1;AT13;AT130;92201;2212;1;5;2010
AT1;AT13;AT130;92201;2213;1;21;2010
AT1;AT13;AT130;92201;2214;1;18;2010
AT1;AT13;AT130;92201;2215;1;54;2010
AT1;AT13;AT130;92201;2216;1;2;2010
AT1;AT13;AT130;92201;2217;1;6;2010
AT1;AT13;AT130;92201;2218;1;11;2010
AT1;AT13;AT130;92201;2219;1;23;2010
AT1;AT13;AT130;92201;2220;1;13;2010
AT1;AT13;AT130;92201;2221;1;5;2010
AT1;AT13;AT130;92201;2222;1;28;2010
AT1;AT13;AT130;92201;2223;1;15;2010
AT1;AT13;AT130;92201;2224;1;13;2010
AT1;AT13;AT130;92201;2225;1;3;2010
AT1;AT13;AT130;92201;2226;1;15;2010
AT1;AT13;AT130;92201;2227;1;13;2010
AT1;AT13;AT130;92201;2228;1;11;2010
AT1;AT13;AT130;92201;2229;1;14;2010
AT1;AT13;AT130;92201;2231;1;2;2010
AT1;AT13;AT130;92201;2232;1;6;2010
AT1;AT13;AT130;92201;2299;1;66;2010
AT1;AT13;AT130;92301;2301;1;6;2010
AT1;AT13;AT130;92301;2302;1;11;2010
AT1;AT13;AT130;92301;2303;1;13;2010
AT1;AT13;AT130;92301;2304;1;27;2010
AT1;AT13;AT130;92301;2305;1;23;2010
AT1;AT13;AT130;92301;2306;1;4;2010
AT1;AT13;AT130;92301;2307;1;29;2010
AT1;AT13;AT130;92301;2308;1;21;2010
AT1;AT13;AT130;92301;2309;1;25;2010
AT1;AT13;AT130;92301;2310;1;24;2010
AT1;AT13;AT130;92301;2311;1;21;2010
AT1;AT13;AT130;92301;2312;1;22;2010
AT1;AT13;AT130;92301;2313;1;26;2010
AT1;AT13;AT130;92301;2314;1;21;2010
AT1;AT13;AT130;92301;2315;1;7;2010
AT1;AT13;AT130;92301;2316;1;15;2010
AT1;AT13;AT130;92301;2318;1;14;2010
AT1;AT13;AT130;92301;2319;1;41;2010
AT1;AT13;AT130;92301;2399;1;32;2010
AT1;AT13;AT130;90101;101;2;19;2011
AT1;AT13;AT130;90101;102;2;9;2011
AT1;AT13;AT130;90101;103;2;5;2011
AT1;AT13;AT130;90101;104;2;7;2011
AT1;AT13;AT130;90101;105;2;6;2011
AT1;AT13;AT130;90101;106;2;7;2011
AT1;AT13;AT130;90101;107;2;19;2011
AT1;AT13;AT130;90101;199;2;22;2011
AT1;AT13;AT130;90201;201;2;62;2011
