NUTS1;NUTS2;NUTS3;DISTRICT_CODE;DISTRICT_NAME;LAU_CODE;LAU_NAME;SUM_ANKUENFTE;SUM_UEBERNACHTUNGEN;YEAR
AT2;AT22;AT226;614;Murau;61412;Neumarkt in Steiermark;1523;4226;2012
AT2;AT22;AT226;614;Murau;61414;Oberwölz Stadt;2970;10240;2012
AT2;AT22;AT226;614;Murau;61415;Oberwölz Umgebung;1187;6839;2012
AT2;AT22;AT226;614;Murau;61417;Predlitz-Turrach;33738;166523;2012
AT2;AT22;AT226;614;Murau;61418;Ranten;1531;7623;2012
AT2;AT22;AT226;614;Murau;61419;Rinegg;230;1711;2012
AT2;AT22;AT226;614;Murau;61420;Sankt Blasen;2807;13822;2012
AT2;AT22;AT226;614;Murau;61421;Sankt Georgen ob Murau;53492;257860;2012
AT2;AT22;AT226;614;Murau;61422;Sankt Lambrecht;21037;69858;2012
AT2;AT22;AT226;614;Murau;61423;Sankt Lorenzen bei Scheifling;155;660;2012
AT2;AT22;AT226;614;Murau;61424;Sankt Marein bei Neumarkt;848;3540;2012
AT2;AT22;AT226;614;Murau;61425;Sankt Peter am Kammersberg;7695;45917;2012
AT2;AT22;AT226;614;Murau;61427;Scheifling;1064;1778;2012
AT2;AT22;AT226;614;Murau;61428;Schöder;2254;9350;2012
AT2;AT22;AT226;614;Murau;61429;Schönberg-Lachtal;18002;77353;2012
AT2;AT22;AT226;614;Murau;61430;Stadl an der Mur;4213;18713;2012
AT2;AT22;AT226;614;Murau;61431;Stolzalpe;1243;5881;2012
AT2;AT22;AT226;614;Murau;61434;Winklern bei Oberwölz;1218;3644;2012
AT2;AT22;AT226;614;Murau;61435;Zeutschach;2787;12453;2012
AT2;AT22;AT225;616;Voitsberg;61601;Bärnbach;1698;4245;2012
AT2;AT22;AT225;616;Voitsberg;61602;Edelschrott;373;592;2012
AT2;AT22;AT225;616;Voitsberg;61607;Hirschegg;8933;25347;2012
AT2;AT22;AT225;616;Voitsberg;61609;Köflach;13215;76940;2012
AT2;AT22;AT225;616;Voitsberg;61612;Ligist;1799;4701;2012
AT2;AT22;AT225;616;Voitsberg;61613;Maria Lankowitz;8628;25884;2012
AT2;AT22;AT225;616;Voitsberg;61616;Pack;2739;9159;2012
AT2;AT22;AT225;616;Voitsberg;61619;Salla;951;2751;2012
AT2;AT22;AT225;616;Voitsberg;61625;Voitsberg;4943;8598;2012
AT2;AT22;AT224;617;Weiz;61702;Anger;11706;31468;2012
AT2;AT22;AT224;617;Weiz;61704;Baierdorf bei Anger;2070;6397;2012
AT2;AT22;AT224;617;Weiz;61708;Fischbach;6432;30645;2012
AT2;AT22;AT224;617;Weiz;61709;Fladnitz an der Teichalm;34908;95235;2012
AT2;AT22;AT224;617;Weiz;61710;Floing;427;2321;2012
AT2;AT22;AT224;617;Weiz;61711;Gasen;1538;4927;2012
AT2;AT22;AT224;617;Weiz;61713;Gleisdorf;3876;7775;2012
AT2;AT22;AT224;617;Weiz;61714;Gschaid bei Birkfeld;121;510;2012
AT2;AT22;AT224;617;Weiz;61716;Markt Hartmannsdorf;1200;3717;2012
AT2;AT22;AT224;617;Weiz;61722;Koglhof;987;5441;2012
AT2;AT22;AT224;617;Weiz;61724;Kulm bei Weiz;667;2556;2012
AT2;AT22;AT224;617;Weiz;61728;Miesenbach bei Birkfeld;3836;28411;2012
AT2;AT22;AT224;617;Weiz;61732;Naintsch;4190;13631;2012
AT2;AT22;AT224;617;Weiz;61736;Passail;2899;11462;2012
AT2;AT22;AT224;617;Weiz;61737;Pischelsdorf in der Steiermark;251;461;2012
AT2;AT22;AT224;617;Weiz;61740;Puch bei Weiz;1551;5148;2012
AT2;AT22;AT224;617;Weiz;61741;Ratten;3951;14895;2012
AT2;AT22;AT224;617;Weiz;61743;Rettenegg;528;2391;2012
AT2;AT22;AT224;617;Weiz;61744;Sankt Kathrein am Hauenstein;3505;11319;2012
AT2;AT22;AT224;617;Weiz;61745;Sankt Kathrein am Offenegg;12983;40213;2012
AT2;AT22;AT224;617;Weiz;61748;Sinabelkirchen;419;662;2012
AT2;AT22;AT224;617;Weiz;61750;Strallegg;1936;7949;2012
AT2;AT22;AT224;617;Weiz;61754;Waisenegg;210;973;2012
AT2;AT22;AT224;617;Weiz;61755;Weiz;8364;16629;2012
AT2;AT22;AT226;620;Murtal;62007;Fohnsdorf;16077;33313;2012
AT2;AT22;AT226;620;Murtal;62008;Gaal;2298;7421;2012
AT2;AT22;AT226;620;Murtal;62009;Großlobming;3252;9106;2012
AT2;AT22;AT226;620;Murtal;62010;Hohentauern;11860;53307;2012
AT2;AT22;AT226;620;Murtal;62011;Judenburg;12526;25643;2012
AT2;AT22;AT226;620;Murtal;62012;Kleinlobming;1491;5209;2012
AT2;AT22;AT226;620;Murtal;62013;Knittelfeld;5304;11739;2012
AT2;AT22;AT226;620;Murtal;62016;Obdach;2388;5365;2012
AT2;AT22;AT226;620;Murtal;62019;Oberzeiring;3351;37488;2012
AT2;AT22;AT226;620;Murtal;62020;Pöls;1275;7562;2012
AT2;AT22;AT226;620;Murtal;62021;Pusterwald;1468;6797;2012
AT2;AT22;AT226;620;Murtal;62022;Rachau;860;3088;2012
AT2;AT22;AT226;620;Murtal;62027;Sankt Johann am Tauern;1097;2533;2012
AT2;AT22;AT226;620;Murtal;62030;Sankt Margarethen bei Knittelfeld;596;1661;2012
AT2;AT22;AT226;620;Murtal;62031;Sankt Oswald-Möderbrugg;1433;4016;2012
AT2;AT22;AT226;620;Murtal;62033;Sankt Wolfgang-Kienberg;2071;6254;2012
AT2;AT22;AT226;620;Murtal;62034;Seckau;3729;9928;2012
AT2;AT22;AT226;620;Murtal;62035;Spielberg;7899;22287;2012
AT2;AT22;AT226;620;Murtal;62037;Weißkirchen in Steiermark;2390;5113;2012
AT2;AT22;AT226;620;Murtal;62038;Zeltweg;7721;14962;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62101;Aflenz Kurort;6168;53902;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62102;Aflenz Land;1801;7368;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62104;Altenberg an der Rax;1227;3513;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62105;Breitenau am Hochlantsch;2909;6146;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62106;Bruck an der Mur;13732;28153;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62107;Etmißl;751;1832;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62109;Ganz;599;1930;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62110;Gußwerk;4017;7275;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62111;Halltal;1049;1557;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62112;Kapellen;1780;2686;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62113;Kapfenberg;12698;29314;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62114;Kindberg;2282;6535;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62115;Krieglach;13122;38401;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62116;Langenwang;4412;9200;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62117;Mariazell;33348;89023;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62118;Mitterdorf im Mürztal;1171;1648;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62120;Mürzsteg;17975;49911;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62121;Mürzzuschlag;3717;7040;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62122;Neuberg an der Mürz;3321;7668;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62125;Pernegg an der Mur;1298;2701;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62128;Sankt Lorenzen im Mürztal;6179;8819;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62130;Sankt Sebastian;28555;68711;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62131;Spital am Semmering;26620;82854;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62132;Stanz im Mürztal;1174;3074;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62133;Thörl;2256;4299;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62134;Tragöß;4119;11700;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62135;Turnau;5813;13973;2012
AT2;AT22;AT223;621;Bruck-Mürzzuschlag;62136;Veitsch;12505;28802;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62201;Altenmarkt bei Fürstenfeld;724;3016;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62202;Bad Blumau;73374;182750;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62203;Bad Waltersdorf;129580;407812;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62206;Burgau;2503;7952;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62207;Dechantskirchen;558;2150;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62209;Ebersdorf;408;3510;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62210;Eichberg;1868;11490;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62212;Fürstenfeld;13470;37055;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62213;Grafendorf bei Hartberg;1971;14365;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62214;Greinbach;1025;5609;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62216;Großsteinbach;293;1196;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62217;Großwilfersdorf;1082;1866;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62219;Hartberg;8724;15758;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62220;Hartberg Umgebung;3530;20563;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62222;Hofkirchen bei Hartberg;3582;12507;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62224;Kaibing;494;1625;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62225;Kaindorf;2801;14380;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62228;Loipersdorf bei Fürstenfeld;114374;274521;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62229;Mönichwald;5854;29245;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62233;Pinggau;1292;1847;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62234;Pöllau;7977;21320;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62235;Pöllauberg;16910;35225;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62242;Sankt Jakob im Walde;8923;43147;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62243;Sankt Johann bei Herberstein;1702;4048;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62244;Sankt Johann in der Haide;1355;7109;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62245;Sankt Lorenzen am Wechsel;1576;7830;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62247;Schäffern;351;738;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62249;Schönegg bei Pöllau;4211;9206;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62250;Sebersdorf;59271;128949;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62251;Siegersdorf bei Herberstein;1541;4926;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62253;Sonnhofen;27;245;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62255;Stein;4229;11186;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62256;Stubenberg;25926;96018;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62259;Vorau;2867;10076;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62261;Waldbach;128;629;2012
AT2;AT22;AT224;622;Hartberg-Fürstenfeld;62262;Wenigzell;6460;32468;2012
AT2;AT22;AT224;623;Südoststeiermark;62303;Bad Gleichenberg;36745;241143;2012
AT2;AT22;AT224;623;Südoststeiermark;62304;Bad Radkersburg;65889;433993;2012
AT2;AT22;AT224;623;Südoststeiermark;62305;Bairisch Kölldorf;8404;31885;2012
AT2;AT22;AT224;623;Südoststeiermark;62308;Breitenfeld an der Rittschein;1724;4040;2012
AT2;AT22;AT224;623;Südoststeiermark;62309;Deutsch Goritz;628;1725;2012
AT2;AT22;AT224;623;Südoststeiermark;62315;Fehring;1054;3291;2012
AT2;AT22;AT224;623;Südoststeiermark;62316;Feldbach;9914;15058;2012
AT2;AT22;AT224;623;Südoststeiermark;62319;Frutten-Gießelsdorf;1072;3866;2012
AT2;AT22;AT224;623;Südoststeiermark;62323;Gosdorf;6408;31013;2012
AT2;AT22;AT224;623;Südoststeiermark;62324;Gossendorf;1527;5247;2012
