Wanderung gegenüber Wien nach Zählbezirken, Staatsangehörigkeit und Geschlecht;;;;;;;;;;;;;;;;;;
Migration in Vienna by subdistrict, nationality and sex;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;NATIONALITY;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;IMM_SDC;EMI_SDC;MIG_SDC_INT;REF_DATE
AT1;AT13;AT130;00000;9010199;2;SCG;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;CHN;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;2;OTHER;-9;-2;0;2;-7;0;0;0;7;0;2007
AT1;AT13;AT130;00000;9010199;1;AUT;-36;-8;0;8;-28;0;3;1;26;0;2007
AT1;AT13;AT130;00000;9010199;1;DEU;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;1;REST-EU;-5;-3;1;4;-2;0;0;0;2;0;2007
AT1;AT13;AT130;00000;9010199;1;SCG;-1;-1;0;1;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9010199;1;TUR;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;1;HRV;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9010199;1;OTHER;-3;-2;0;2;-1;2;1;0;2;0;2007
AT1;AT13;AT130;00000;9020101;2;AUT;51;-5;6;11;56;48;50;261;203;34;2007
AT1;AT13;AT130;00000;9020101;2;DEU;3;3;5;2;0;0;0;3;3;0;2007
AT1;AT13;AT130;00000;9020101;2;POL;6;4;5;1;2;0;3;10;5;0;2007
AT1;AT13;AT130;00000;9020101;2;ROU;-4;1;2;1;-5;0;2;0;3;1;2007
AT1;AT13;AT130;00000;9020101;2;SVK;9;5;5;0;4;0;0;7;3;0;2007
AT1;AT13;AT130;00000;9020101;2;HUN;2;1;2;1;1;0;0;1;0;2;2007
AT1;AT13;AT130;00000;9020101;2;BGR;7;1;2;1;6;0;0;6;0;0;2007
AT1;AT13;AT130;00000;9020101;2;CZE;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9020101;2;REST-EU;9;7;8;1;2;0;1;5;2;0;2007
AT1;AT13;AT130;00000;9020101;2;SCG;19;1;3;2;18;1;1;30;12;1;2007
AT1;AT13;AT130;00000;9020101;2;TUR;18;3;4;1;15;0;0;23;8;0;2007
AT1;AT13;AT130;00000;9020101;2;BIH;6;3;3;0;3;1;0;2;0;0;2007
AT1;AT13;AT130;00000;9020101;2;HRV;-1;0;0;0;-1;0;0;2;3;0;2007
AT1;AT13;AT130;00000;9020101;2;MKD;3;0;0;0;3;0;0;5;2;0;2007
AT1;AT13;AT130;00000;9020101;2;RUS;20;2;2;0;18;5;0;19;6;1;2007
AT1;AT13;AT130;00000;9020101;2;CHN;8;-1;1;2;9;0;0;9;0;0;2007
AT1;AT13;AT130;00000;9020101;2;OTHER;3;-3;15;18;6;3;4;24;17;6;2007
AT1;AT13;AT130;00000;9020101;1;AUT;116;5;21;16;111;57;49;299;196;36;2007
AT1;AT13;AT130;00000;9020101;1;DEU;-3;-4;3;7;1;1;1;5;4;0;2007
AT1;AT13;AT130;00000;9020101;1;POL;-5;-1;2;3;-4;0;1;6;9;1;2007
AT1;AT13;AT130;00000;9020101;1;ROU;-1;-2;1;3;1;0;1;5;3;0;2007
AT1;AT13;AT130;00000;9020101;1;SVK;2;2;2;0;0;0;0;1;1;0;2007
AT1;AT13;AT130;00000;9020101;1;HUN;0;1;1;0;-1;0;0;0;1;3;2007
AT1;AT13;AT130;00000;9020101;1;BGR;4;1;1;0;3;0;0;3;0;0;2007
AT1;AT13;AT130;00000;9020101;1;CZE;-1;0;0;0;-1;0;0;0;1;0;2007
AT1;AT13;AT130;00000;9020101;1;REST-EU;7;7;7;0;0;0;2;6;4;0;2007
AT1;AT13;AT130;00000;9020101;1;SCG;10;2;5;3;8;1;2;24;15;1;2007
AT1;AT13;AT130;00000;9020101;1;TUR;11;2;3;1;9;1;1;20;11;0;2007
AT1;AT13;AT130;00000;9020101;1;BIH;-1;1;1;0;-2;1;0;5;8;1;2007
AT1;AT13;AT130;00000;9020101;1;HRV;4;3;3;0;1;0;0;1;0;0;2007
AT1;AT13;AT130;00000;9020101;1;MKD;0;-1;1;2;1;1;0;2;2;0;2007
AT1;AT13;AT130;00000;9020101;1;RUS;10;-2;0;2;12;5;0;13;6;0;2007
AT1;AT13;AT130;00000;9020101;1;CHN;3;0;0;0;3;0;0;4;1;0;2007
AT1;AT13;AT130;00000;9020101;1;OTHER;13;13;24;11;0;2;1;31;32;3;2007
AT1;AT13;AT130;00000;9020102;2;AUT;-159;-2;12;14;-157;57;64;191;341;31;2007
AT1;AT13;AT130;00000;9020102;2;DEU;10;14;19;5;-4;1;4;17;18;1;2007
AT1;AT13;AT130;00000;9020102;2;POL;-7;7;12;5;-14;0;1;13;26;1;2007
AT1;AT13;AT130;00000;9020102;2;ROU;17;17;25;8;0;2;0;16;18;1;2007
AT1;AT13;AT130;00000;9020102;2;SVK;10;9;16;7;1;3;2;15;15;0;2007
AT1;AT13;AT130;00000;9020102;2;HUN;1;-1;2;3;2;1;1;2;0;0;2007
AT1;AT13;AT130;00000;9020102;2;BGR;0;-1;9;10;1;1;0;9;9;0;2007
AT1;AT13;AT130;00000;9020102;2;CZE;2;2;2;0;0;0;0;2;2;1;2007
AT1;AT13;AT130;00000;9020102;2;REST-EU;9;2;9;7;7;0;0;9;2;1;2007
AT1;AT13;AT130;00000;9020102;2;SCG;-17;-5;27;32;-12;2;7;63;70;7;2007
AT1;AT13;AT130;00000;9020102;2;TUR;10;24;29;5;-14;4;1;31;48;8;2007
AT1;AT13;AT130;00000;9020102;2;BIH;7;10;11;1;-3;3;5;9;10;3;2007
AT1;AT13;AT130;00000;9020102;2;HRV;-11;-3;2;5;-8;0;0;6;14;1;2007
AT1;AT13;AT130;00000;9020102;2;MKD;3;0;0;0;3;0;0;4;1;0;2007
AT1;AT13;AT130;00000;9020102;2;RUS;-2;0;2;2;-2;2;0;6;10;0;2007
AT1;AT13;AT130;00000;9020102;2;CHN;-1;1;2;1;-2;0;0;4;6;2;2007
AT1;AT13;AT130;00000;9020102;2;OTHER;-3;11;41;30;-14;12;4;38;60;3;2007
AT1;AT13;AT130;00000;9020102;1;AUT;-111;-15;23;38;-96;71;73;229;323;30;2007
AT1;AT13;AT130;00000;9020102;1;DEU;20;23;30;7;-3;2;4;11;12;0;2007
AT1;AT13;AT130;00000;9020102;1;POL;-13;-6;21;27;-7;1;1;16;23;0;2007
AT1;AT13;AT130;00000;9020102;1;ROU;16;16;26;10;0;1;0;11;12;1;2007
AT1;AT13;AT130;00000;9020102;1;SVK;7;5;10;5;2;1;1;5;3;0;2007
AT1;AT13;AT130;00000;9020102;1;HUN;1;0;1;1;1;0;0;1;0;0;2007
