Herkunftsgebiet (Österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Zählbezirk ;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;91301;1399;2;25;15;0;3;0;0;2;1;0;0;0;4;20110101
AT1;AT13;AT130;91401;1401;2;3397;1598;88;355;53;111;102;25;22;13;5;1025;20110101
AT1;AT13;AT130;91401;1402;2;4245;1624;81;310;54;107;101;29;18;12;5;1904;20110101
AT1;AT13;AT130;91401;1403;2;4581;2250;84;414;87;142;150;66;40;24;9;1315;20110101
AT1;AT13;AT130;91401;1404;2;10153;5109;227;1017;129;237;200;46;53;23;10;3102;20110101
AT1;AT13;AT130;91401;1405;2;2151;1347;32;192;27;66;43;17;7;6;0;414;20110101
AT1;AT13;AT130;91401;1406;2;6414;3391;141;735;78;178;143;39;29;6;10;1664;20110101
AT1;AT13;AT130;91401;1407;2;1577;946;32;129;13;27;15;3;6;1;4;401;20110101
AT1;AT13;AT130;91401;1408;2;2054;1234;49;243;28;47;46;15;15;4;5;368;20110101
AT1;AT13;AT130;91401;1409;2;109;54;4;14;3;5;4;3;0;0;0;22;20110101
AT1;AT13;AT130;91401;1410;2;3849;2231;64;394;67;128;139;34;34;10;7;741;20110101
AT1;AT13;AT130;91401;1411;2;3337;2254;65;284;35;66;95;22;16;4;7;489;20110101
AT1;AT13;AT130;91401;1412;2;2911;1810;57;285;41;88;82;31;27;10;4;476;20110101
AT1;AT13;AT130;91401;1499;2;115;74;1;14;1;3;2;0;0;1;0;19;20110101
AT1;AT13;AT130;91501;1501;2;5356;2254;104;505;74;140;166;51;27;27;4;2004;20110101
AT1;AT13;AT130;91501;1502;2;4643;1454;91;358;87;120;154;43;48;27;8;2253;20110101
AT1;AT13;AT130;91501;1503;2;5839;1870;113;433;77;144;205;40;48;25;9;2875;20110101
