Gebäude in Wien, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buildings in Vienna, 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE_2;SUB_DISTRICT_CODE_4;DISTRICT_CODE;SUB_DISTRICT_CODE;OBJ_TYP_1WOHN;OBJ_TYP_2WOHN;OBJ_TYP_3WOHN;OBJ_TYP_GEMEIN;OBJ_TYP_GEWERBL;OBJ_WSA_MITHWS;OBJ_WSA_OHNEHWS;OBJ_ANZWHG_KEINE;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3BIS5;OBJ_ANZWHG_6BIS10;OBJ_ANZWHG_11BIS20;OBJ_ANZWHG_21MEHR;OBJ_EIGENT_PRIVAT;OBJ_EIGENT_OEFFENTL;OBJ_EIGENT_GEMEINN;OBJ_EIGENT_SONSTIGE;OBJ_FLNETTO_BIS199;OBJ_FLNETTO_200BIS299;OBJ_FLNETTO_300BIS499;OBJ_FLNETTO_500BIS999;OBJ_FLNETTO_1000BIS;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6BIS10;OBJ_ANZGESCHO_11BIS;OBJ_BAUP_BIS1918;OBJ_BAUP_1919BIS1944;OBJ_BAUP_1945BIS1960;OBJ_BAUP_1961BIS1970;OBJ_BAUP_1971BIS1980;OBJ_BAUP_1981BIS1990;OBJ_BAUP_1991BIS2000;OBJ_BAUP_2001BIS
AT1;AT13;AT130;05;0502;90501;9050102;1;0;589;0;55;601;44;38;7;3;9;35;354;199;308;243;38;56;9;3;23;258;352;25;12;6;63;105;430;4;242;140;139;50;23;15;23;13
AT1;AT13;AT130;05;0503;90501;9050103;6;3;580;7;44;604;36;28;15;4;26;116;304;147;434;111;12;83;15;11;68;293;253;15;12;26;161;162;264;0;407;74;38;34;35;14;14;24
AT1;AT13;AT130;05;0504;90501;9050104;4;1;240;1;40;250;36;33;7;1;14;43;130;58;202;20;5;59;10;9;22;109;136;20;8;16;68;60;114;0;208;9;11;13;6;14;14;11
AT1;AT13;AT130;06;0601;90601;9060101;4;4;327;1;161;355;142;132;16;8;35;93;172;41;302;112;7;76;111;5;24;116;241;92;22;16;67;127;173;0;383;17;7;13;14;20;23;20
AT1;AT13;AT130;06;0602;90601;9060102;5;2;315;7;42;344;27;23;16;5;19;49;167;92;248;61;20;42;12;5;22;133;199;13;11;37;57;61;192;0;206;33;36;23;24;20;12;17
AT1;AT13;AT130;06;0603;90601;9060103;4;4;474;15;74;516;55;46;17;7;39;108;228;126;398;61;33;79;15;14;37;145;360;20;21;55;100;125;247;3;378;14;20;20;46;48;24;21
AT1;AT13;AT130;07;0701;90701;9070101;2;12;275;3;25;290;27;20;8;14;29;83;135;28;191;36;16;74;17;17;39;112;132;11;7;44;87;92;76;0;248;5;9;5;19;11;7;13
AT1;AT13;AT130;07;0702;90701;9070102;4;10;158;0;45;179;38;32;8;14;28;55;68;12;142;28;8;39;17;18;24;58;100;10;15;20;51;57;64;0;160;8;2;7;3;7;13;17
AT1;AT13;AT130;07;0703;90701;9070103;1;2;181;3;48;195;40;37;10;2;20;43;88;35;128;34;14;59;7;6;19;59;144;13;10;17;54;63;78;0;145;10;10;19;4;13;12;22
AT1;AT13;AT130;07;0704;90701;9070104;5;3;353;3;49;377;36;34;14;4;25;80;176;80;301;32;13;67;14;11;27;118;243;16;17;33;84;109;151;3;303;13;3;11;17;26;18;22
AT1;AT13;AT130;07;0705;90701;9070105;3;4;332;2;29;352;18;15;9;7;26;92;154;67;267;28;15;60;13;13;28;144;172;3;14;48;73;118;114;0;266;18;12;12;18;17;11;16
AT1;AT13;AT130;08;0801;90801;9080101;2;5;186;5;30;206;22;18;6;8;15;35;118;28;131;45;8;44;4;7;11;58;148;11;5;12;49;53;98;0;179;11;8;6;5;3;6;10
