Kilowatt - Gemeindebezirk;;;;;;;;;;;;;;
Kilowatt in Vienna - municipial district;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;KW_0_30;KW_31_50;KW_51_70;KW_71_90;KW_91_110;KW_111_130;KW_131_150;KW_151_+;REF_DATE
AT1;AT13;AT130;90801;0000;1;64;355;988;1241;867;313;237;331;20111231
AT1;AT13;AT130;90801;0000;2;38;530;1043;789;402;119;62;79;20111231
AT1;AT13;AT130;90801;0000;3;6;74;123;206;174;98;54;147;20111231
AT1;AT13;AT130;90901;0000;1;62;640;1871;2240;1427;576;374;614;20111231
AT1;AT13;AT130;90901;0000;2;49;912;1861;1384;611;216;105;157;20111231
AT1;AT13;AT130;90901;0000;3;9;166;267;440;459;210;145;332;20111231
AT1;AT13;AT130;91001;0000;1;195;3082;9378;11679;6846;2020;1165;1174;20111231
AT1;AT13;AT130;91001;0000;2;88;3891;7754;4941;1927;545;285;279;20111231
AT1;AT13;AT130;91001;0000;3;30;226;1126;2628;1849;611;393;536;20111231
AT1;AT13;AT130;91101;0000;1;102;1622;5183;6485;3573;1042;623;637;20111231
AT1;AT13;AT130;91101;0000;2;34;2284;4252;2665;1007;266;150;124;20111231
AT1;AT13;AT130;91101;0000;3;2;177;500;1299;951;307;172;283;20111231
AT1;AT13;AT130;91201;0000;1;119;1478;4533;5448;3168;939;559;610;20111231
AT1;AT13;AT130;91201;0000;2;47;1912;3701;2379;979;239;143;124;20111231
AT1;AT13;AT130;91201;0000;3;6;108;386;1458;1831;478;309;424;20111231
AT1;AT13;AT130;91301;0000;1;127;979;2618;3428;2277;889;582;985;20111231
AT1;AT13;AT130;91301;0000;2;65;1599;3273;2307;1027;334;216;266;20111231
AT1;AT13;AT130;91301;0000;3;14;79;227;597;489;213;152;305;20111231
AT1;AT13;AT130;91401;0000;1;167;1632;4774;5854;3555;1115;669;782;20111231
AT1;AT13;AT130;91401;0000;2;70;2401;4685;2955;1197;326;177;200;20111231
AT1;AT13;AT130;91401;0000;3;8;100;296;747;666;232;129;220;20111231
AT1;AT13;AT130;91501;0000;1;116;1291;3683;4127;2399;670;426;440;20111231
AT1;AT13;AT130;91501;0000;2;35;1291;2398;1564;642;168;106;82;20111231
AT1;AT13;AT130;91501;0000;3;6;134;423;644;538;220;123;281;20111231
AT1;AT13;AT130;91601;0000;1;130;1679;4943;5951;3369;1023;626;678;20111231
AT1;AT13;AT130;91601;0000;2;62;1926;3933;2505;1049;265;172;171;20111231
AT1;AT13;AT130;91601;0000;3;6;510;386;670;586;190;114;236;20111231
AT1;AT13;AT130;91701;0000;1;108;959;2753;3190;1920;679;413;538;20111231
AT1;AT13;AT130;91701;0000;2;44;1268;2370;1592;641;206;130;135;20111231
AT1;AT13;AT130;91701;0000;3;5;104;169;296;262;105;61;130;20111231
AT1;AT13;AT130;91801;0000;1;114;813;2351;2832;1833;681;425;729;20111231
AT1;AT13;AT130;91801;0000;2;64;1194;2419;1684;715;235;168;222;20111231
AT1;AT13;AT130;91801;0000;3;13;62;179;265;288;158;90;196;20111231
AT1;AT13;AT130;91901;0000;1;170;1232;3240;4028;2821;1094;789;1519;20111231
AT1;AT13;AT130;91901;0000;2;81;1775;3742;2700;1310;477;271;505;20111231
AT1;AT13;AT130;91901;0000;3;13;127;397;768;702;301;223;544;20111231
AT1;AT13;AT130;92001;0000;1;77;1235;4237;5032;2947;870;481;460;20111231
AT1;AT13;AT130;92001;0000;2;37;1602;3175;2134;900;208;113;95;20111231
AT1;AT13;AT130;92001;0000;3;8;61;275;506;620;296;213;241;20111231
AT1;AT13;AT130;92101;0000;1;201;2731;8692;10326;5806;1839;989;1159;20111231
AT1;AT13;AT130;92101;0000;2;90;4180;8171;4993;1947;495;253;230;20111231
AT1;AT13;AT130;92101;0000;3;19;134;646;1831;1547;438;275;418;20111231
AT1;AT13;AT130;92201;0000;1;223;3107;9672;12270;7170;2298;1385;1601;20111231
AT1;AT13;AT130;92201;0000;2;114;5069;9906;6426;2501;641;389;381;20111231
AT1;AT13;AT130;92201;0000;3;2;177;1282;2545;1907;711;495;747;20111231
AT1;AT13;AT130;92301;0000;1;168;1862;5525;7297;4343;1496;832;1158;20111231
AT1;AT13;AT130;92301;0000;2;76;3297;6372;4123;1684;449;237;258;20111231
AT1;AT13;AT130;92301;0000;3;14;233;926;2825;2719;745;462;733;20111231
AT1;AT13;AT130;99101;0000;3;1;6;102;4031;621;413;269;143;20111231
AT1;AT13;AT130;99201;0000;3;1;7;119;188;50;2;5;1;20111231
AT1;AT13;AT130;99301;0000;3;0;10;748;1452;125;3;0;1;20111231
